name,slug,norm_key,agency_name,aav_aa
Abdul Carter,abdul-carter,abdul carter,Rosenhaus Sports Representation,11313795
John Franklin-Myers,john-franklin-myers,john franklinmyers,Shark Sports Management,11000000
Dorance Armstrong,dorance-armstrong,dorance armstrong,MS World LLC,11000000
Kyren Williams,kyren-williams,kyren williams,Rosenhaus Sports Representation,11000000
Jakobi Meyers,jakobi-meyers,jakobi meyers,Rosenhaus Sports Representation,11000000
Tyrann Mathieu,tyrann-mathieu,tyrann mathieu,EAG Sports Management,11000000
Will Campbell,will-campbell,will campbell,Roc Nation,10915526
Kolton Miller,kolton-miller,kolton miller,Octagon,10800000
Hunter Renfrow,hunter-renfrow,hunter renfrow,RBSH Enterprises,10776333
Justin Reid,justin-reid,justin reid,WIN Sports Group,10500000
Dre Greenlaw,dre-greenlaw,dre greenlaw,Kutak Rock LLP,10500000
Russell Wilson,russell-wilson,russell wilson,Frontline Athlete Management,10500000
Isaac Seumalo,isaac-seumalo,isaac seumalo,1 of 1 Agency,10500000
Justin Jones,justin-jones,justin jones,LIFT Sports Management,10388333
Frankie Luvu,frankie-luvu,frankie luvu,IFA (The Institute for Athletes),10333333
Juwan Johnson,juwan-johnson,juwan johnson,VaynerSports,10250000
Darren Waller,darren-waller,darren waller,Rosenhaus Sports Representation,10200000
Mekhi Becton,mekhi-becton,mekhi becton,LIFT Sports Management,10000000
Russell Gage,russell-gage,russell gage,Ballengee Group,10000000
Jon Runyan,jon-runyan,jon runyan,Dynamic Sports Group,10000000
Darius Slay,darius-slay,darius slay,Rosenhaus Sports Representation,10000000
Uchenna Nwosu,uchenna-nwosu,uchenna nwosu,Elite 300 Sports & Entertainment,10000000
Aaron Jones,aaron-jones,aaron jones,Rosenhaus Sports Representation,10000000
B.j. Hill,bj-hill,bj hill,Athletes First,10000000
Taysom Hill,taysom-hill,taysom hill,Oncoor Sports Marketing,10000000
Dallas Goedert,dallas-goedert,dallas goedert,Excel Sports Management,10000000
Bobby Okereke,bobby-okereke,bobby okereke,Excel Sports Management,10000000
Maliek Collins,maliek-collins,maliek collins,Rosenhaus Sports Representation,10000000
Marquez Valdes-Scantling,marquez-valdes-scantling,marquez valdesscantling,National Sports Agency,10000000
John Simpson,john-simpson,john simpson,Range Media Partners,10000000
Denico Autry,denico-autry,denico autry,Innovation Sports Management,10000000
Caleb Williams,caleb-williams,caleb williams,Barnburner Sports Marketing,9871515
Dawson Knox,dawson-knox,dawson knox,Excel Sports Management,9833333
Josh Palmer,josh-palmer,josh palmer,The Sports & Entertainment Group,9666667
Mario Edwards,mario-edwards,mario edwards,Innovation Sports Management,9500000
Jayden Daniels,jayden-daniels,jayden daniels,EAG Sports Management,9436663
Diontae Johnson,diontae-johnson,diontae johnson,QC Sports,9177500
C.j. Stroud,cj-stroud,cj stroud,Athletes First,9069811
Rhamondre Stevenson,rhamondre-stevenson,rhamondre stevenson,SIEGE,9000000
Tyler Higbee,tyler-higbee,tyler higbee,Roc Nation,9000000
Ashton Jeanty,ashton-jeanty,ashton jeanty,Disruptive,8973953
James Daniels,james-daniels,james daniels,Goal Line Football,8833333
Jordyn Brooks,jordyn-brooks,jordyn brooks,Roc Nation,8750000
