name,slug,norm_key,agency_name,aav_aa
Jalin Hyatt,jalin-hyatt,jalin hyatt,Everett Sports Marketing (ESM),1406328
Cedric Tillman,cedric-tillman,cedric tillman,WIN Sports Group,1403628
Zech Mcphearson,zech-mcphearson,zech mcphearson,United Sports Group,1403217
Josh Harris,josh-harris,josh harris,International Sports Advisors,1400000
Jarrian Jones,jarrian-jones,jarrian jones,AthElite Agency,1399078
Luke Mccaffrey,luke-mccaffrey,luke mccaffrey,Range Media Partners,1399078
Payton Wilson,payton-wilson,payton wilson,MGC Sports,1399078
Austin Schlottmann,austin-schlottmann,austin schlottmann,Capital Sports Advisors,1397500
Josh Myers,josh-myers,josh myers,IHC Sports,1395034
Israel Abanikanda,israel-abanikanda,israel abanikanda,First Round Management,1393259
Mitchell Fraboni,mitchell-fraboni,mitchell fraboni,"Black Label Sports Group, LLC",1391667
Marte Mapu,marte-mapu,marte mapu,Generation Sports Group,1390927
Tucker Kraft,tucker-kraft,tucker kraft,JB Sports,1384484
Josh Downs,josh-downs,josh downs,Ace PR,1380115
Tyre Phillips,tyre-phillips,tyre phillips,Paul DeRousselle,1375764
Dj Johnson,dj-johnson,dj johnson,VaynerSports,1375747
Joshua Ezeudu,joshua-ezeudu,joshua ezeudu,LIFT Sports Management,1371381
Dorian Williams,dorian-williams,dorian williams,SportStars,1368202
Yaya Diaby,yaya-diaby,yaya diaby,Independent Sports & Entertainment,1366353
Jake Moody,jake-moody,jake moody,SportStars,1363520
Quindell Johnson,quindell-johnson,quindell johnson,Universal Sports & Entertainment Management,1362500
Byron Cowart,byron-cowart,byron cowart,JL Sports Agency,1362500
Riley Moss,riley-moss,riley moss,MGC Sports,1361872
De'Von Achane,devon-achane,devon achane,Roc Nation,1359362
Chad Muma,chad-muma,chad muma,Excel Sports Management,1356527
Daiyan Henley,daiyan-henley,daiyan henley,Athletes First,1355105
Matt Pryor,matt-pryor,matt pryor,1 of 1 Agency,1355000
Connor Galvin,connor-galvin,connor galvin,1 of 1 Agency,1355000
Artie Burns,artie-burns,artie burns,Rosenhaus Sports Representation,1355000
Brenton Cox Jr.,brenton-cox-jr,brenton cox,JL Sports Agency,1352000
Abraham Beauplan,abraham-beauplan,abraham beauplan,Day 1 Sports & Entertainment,1351500
Velus Jones Jr.,velus-jones-jr,velus jones,National Sports Agency,1351482
Chimere Dike,chimere-dike,chimere dike,Generation Sports Group,1350238
Stone Smartt,stone-smartt,stone smartt,1 of 1 Agency,1350000
Kareem Hunt,kareem-hunt,kareem hunt,Equity Sports,1350000
Tank Bigsby,tank-bigsby,tank bigsby,WIN Sports Group,1348229
Abraham Lucas,abraham-lucas,abraham lucas,Excel Sports Management,1347920
Kobie Turner,kobie-turner,kobie turner,Universal Sports & Entertainment Management,1347868
Demarvion Overshown,demarvion-overshown,demarvion overshown,The Familie,1347507
Trevor Nowaske,trevor-nowaske,trevor nowaske,Perez Sports,1347500
Wanya Morris,wanya-morris,wanya morris,1 of 1 Agency,1342089
Andrew Depaola,andrew-depaola,andrew depaola,SES Sports,1341667
Desmond Ridder,desmond-ridder,desmond ridder,VaynerSports,1340740
A.t. Perry,at-perry,at perry,Klutch Sports Group,1338788
Darnell Washington,darnell-washington,darnell washington,WIN Sports Group,1338477
Demetrius Flannigan-Fowles,demetrius-flannigan-fowles,demetrius flanniganfowles,SportStars,1337500
Neville Gallimore,neville-gallimore,neville gallimore,LIFT Sports Management,1337500
Devin Duvernay,devin-duvernay,devin duvernay,Roc Nation,1337500
Dalton Risner,dalton-risner,dalton risner,Rosenhaus Sports Representation,1337500
Fred Johnson,fred-johnson,fred johnson,Rosenhaus Sports Representation,1337500
Casey Toohill,casey-toohill,casey toohill,The Team,1337500
Miles Sanders,miles-sanders,miles sanders,LAMF Sports Management,1337500
Scotty Miller,scotty-miller,scotty miller,Rosenhaus Sports Representation,1337500
Kindle Vildor,kindle-vildor,kindle vildor,Universal Sports & Entertainment Management,1337500
Aaron Stinnie,aaron-stinnie,aaron stinnie,Klutch Sports Group,1337500
Christian Harris,christian-harris,christian harris,Lab MGMT,1337062
K'Von Wallace,kvon-wallace,kvon wallace,MB5 Sports Group,1333704
David Quessenberry,david-quessenberry,david quessenberry,Excel Sports Management,1330000
Royce Newman,royce-newman,royce newman,Smart Sports,1326448
Brodric Martin,brodric-martin,brodric martin,Easton Sports Group,1326021
Ricky Stromberg,ricky-stromberg,ricky stromberg,1 of 1 Agency,1326021
Travis Jones,travis-jones,travis jones,LIFT Sports Management,1325491
Bernhard Raimann,bernhard-raimann,bernhard raimann,Excel Sports Management,1325491
Alex Wright,alex-wright,alex wright,Rosenhaus Sports Representation,1323394
Aj Dillon,aj-dillon,aj dillon,Athletes First,1321458
Blake Hance,blake-hance,blake hance,NA3 Sports,1320000
Nick Mccloud,nick-mccloud,nick mccloud,Forever Athlete Management,1320000
Bhayshul Tuten,bhayshul-tuten,bhayshul tuten,Upper Edge Management,1319132
Jt Woods,jt-woods,jt woods,The Familie,1319111
Cam Skattebo,cam-skattebo,cam skattebo,Range Media Partners,1318260
Jj Jansen,jj-jansen,jj jansen,ProStar Sports Agency,1317500
Jack Kiser,jack-kiser,jack kiser,BTI Sports,1314148
Dont'E Thornton Jr.,donte-thornton-jr,donte thornton,WME,1312725
Cordale Flott,cordale-flott,cordale flott,AthElite Agency,1310460
Arian Smith,arian-smith,arian smith,Young Money APAA Sports,1310413
Matthew Butler,matthew-butler,matthew butler,A3 Athletics,1309653
Andre Cisco,andre-cisco,andre cisco,Athletes First,1309125
Deangelo Malone,deangelo-malone,deangelo malone,Sports Law and Management (SLAM),1307396
Brayden Willis,brayden-willis,brayden willis,The Team,1306633
Davis Mills,davis-mills,davis mills,WIN Sports Group,1304383
Cj West,cj-west,cj west,Grand Central Sports Management,1302772
Cody Simon,cody-simon,cody simon,LIFT Sports Management,1301190
Nakobe Dean,nakobe-dean,nakobe dean,A3 Athletics,1301160
Woody Marks,woody-marks,woody marks,SportsTrust Advisors,1300942
Jack Gibbens,jack-gibbens,jack gibbens,JL Sports Agency,1300000
Eric Saubert,eric-saubert,eric saubert,SportStars,1300000
Jarquez Hunter,jarquez-hunter,jarquez hunter,BC Sports,1299695
Demarvin Leal,demarvin-leal,demarvin leal,Klutch Sports Group,1296724
Billy Bowman Jr.,billy-bowman-jr,billy bowman,The Team,1296538
Barrett Carter,barrett-carter,barrett carter,Athletes First,1295529
Marcus Jones,marcus-jones,marcus jones,X-Team Sports Group,1294238
Gunnar Helm,gunnar-helm,gunnar helm,JB Sports,1293227
Brady Christensen,brady-christensen,brady christensen,IHC Sports,1290819
Lathan Ransom,lathan-ransom,lathan ransom,VaynerSports,1289279
Shy Tuttle,shy-tuttle,shy tuttle,Rosenhaus Sports Representation,1287500
Barryn Sorrell,barryn-sorrell,barryn sorrell,Equity Sports,1285463
Kingsley Jonathan,kingsley-jonathan,kingsley jonathan,3XL Sports Management,1285000
Jalen Tolbert,jalen-tolbert,jalen tolbert,SportsTrust Advisors,1283930
Zachary Thomas,zachary-thomas,zachary thomas,IHC Sports,1283884
Kyle Kennard,kyle-kennard,kyle kennard,McRae Sports Group,1282641
Aaron Shampklin,aaron-shampklin,aaron shampklin,Generation Sports Group,1282500
Rachaad White,rachaad-white,rachaad white,IFA (The Institute for Athletes),1282500
Ja'Marcus Ingram,jamarcus-ingram,jamarcus ingram,SportStars,1281250
Sean Rhyan,sean-rhyan,sean rhyan,Steinberg Sports & Entertainment,1280714
Thomas Odukoya,thomas-odukoya,thomas odukoya,3XL Sports Management,1280000
Ugo Amadi,ugo-amadi,ugo amadi,Sports Law and Management (SLAM),1280000
Jaylin Lane,jaylin-lane,jaylin lane,Grady Sports Agency,1278463
Tyrion Davis-Price,tyrion-davis-price,tyrion davisprice,Elite Loyalty Sports,1277136
Teddye Buchanan,teddye-buchanan,teddye buchanan,3 Strand Sports & Entertainment,1275724
Benjamin St-Juste,benjamin-st-juste,benjamin stjuste,VaynerSports,1275188
David Bell,david-bell,david bell,VaynerSports,1273726
Jacob Bobenmoyer,jacob-bobenmoyer,jacob bobenmoyer,Shark Sports Management,1271667
Osa Odighizuwa,osa-odighizuwa,osa odighizuwa,Ballengee Group,1271548
Kyle Allen,kyle-allen,kyle allen,VaynerSports,1270000
Ruben Hyppolite,ruben-hyppolite,ruben hyppolite,Precision Sports Management Group,1269897
Donald Parham Jr.,donald-parham-jr,donald parham,Ace PR,1267500
Jalen Royals,jalen-royals,jalen royals,Priority Sports & Entertainment,1266800
Nick Cross,nick-cross,nick cross,Equity Sports,1266410
Brenden Jaimes,brenden-jaimes,brenden jaimes,Priority Sports & Entertainment,1265927
Chance Campbell,chance-campbell,chance campbell,Equity Sports,1264005
Que Robinson,que-robinson,que robinson,Grand Central Sports Management,1263564
Deejay Dallas,deejay-dallas,deejay dallas,Klutch Sports Group,1263133
Brian Robinson Jr.,brian-robinson-jr,brian robinson,Athletes First,1261227
Channing Tindall,channing-tindall,channing tindall,Universal Sports & Entertainment Management,1261227
Terrel Bernard,terrel-bernard,terrel bernard,LIFT Sports Management,1260748
Nick Westbrook-Ikhine,nick-westbrook-ikhine,nick westbrookikhine,Red Envelope Sports,1260000
Jamal Adams,jamal-adams,jamal adams,Universal Sports & Entertainment Management,1255000
Antonio Hamilton,antonio-hamilton,antonio hamilton,Athletes First,1255000
Preston Smith,preston-smith,preston smith,Innovation Sports Management,1255000
Neville Hewitt,neville-hewitt,neville hewitt,Rosenhaus Sports Representation,1255000
Tony Jefferson,tony-jefferson,tony jefferson,EAG Sports Management,1255000
Brent Urban,brent-urban,brent urban,Athletes First,1255000
Ronnie Harrison,ronnie-harrison,ronnie harrison,Rosenhaus Sports Representation,1255000
Corey Levin,corey-levin,corey levin,Eastern Athletic Services,1255000
Anthony Walker Jr.,anthony-walker-jr,anthony walker,Rosenhaus Sports Representation,1255000
Tanner Hudson,tanner-hudson,tanner hudson,"D. Todd Williams, PC",1255000
Dan Feeney,dan-feeney,dan feeney,SportStars,1255000
Chris Moore,chris-moore,chris moore,SportStars,1255000
Mike Pennel,mike-pennel,mike pennel,1 of 1 Agency,1255000
Bobby Hart,bobby-hart,bobby hart,AMDG Sports,1255000
Ogbo Okoronkwo,ogbo-okoronkwo,ogbo okoronkwo,1 of 1 Agency,1255000
Arthur Maulet,arthur-maulet,arthur maulet,Milk & Honey Sports,1255000
C.j. Goodwin,cj-goodwin,cj goodwin,Rosenhaus Sports Representation,1255000
Ahkello Witherspoon,ahkello-witherspoon,ahkello witherspoon,The Team,1255000
George Fant,george-fant,george fant,The Sports & Entertainment Group,1255000
Jalen Mills,jalen-mills,jalen mills,Rosenhaus Sports Representation,1255000
Spencer Shrader,spencer-shrader,spencer shrader,BTI Sports,1255000
Deon Bush,deon-bush,deon bush,Rosenhaus Sports Representation,1255000
Ameer Abdullah,ameer-abdullah,ameer abdullah,The Sports & Entertainment Group,1255000
Chidobe Awuzie,chidobe-awuzie,chidobe awuzie,Excel Sports Management,1255000
Matt Prater,matt-prater,matt prater,Sun West Sports,1255000
Matt Haack,matt-haack,matt haack,ProStar Sports Agency,1255000
Nick Moore,nick-moore,nick moore,"S6 Representation, LLC",1247500
Divine Deablo,divine-deablo,divine deablo,SportsTrust Advisors,1245208
Tank Dell,tank-dell,tank dell,Aura Sports Group,1244382
Blake Gillikin,blake-gillikin,blake gillikin,BTI Sports,1240000
Chuma Edoga,chuma-edoga,chuma edoga,Klutch Sports Group,1232500
Trayveon Williams,trayveon-williams,trayveon williams,United Sports Group,1232500
Amani Oruwariye,amani-oruwariye,amani oruwariye,LIFT Sports Management,1232500
Olamide Zaccheaus,olamide-zaccheaus,olamide zaccheaus,VaynerSports,1232500
Dante Pettis,dante-pettis,dante pettis,CAA,1232500
Julian Okwara,julian-okwara,julian okwara,Roc Nation,1231703
Nick Niemann,nick-niemann,nick niemann,Range Media Partners,1231335
Ashtyn Davis,ashtyn-davis,ashtyn davis,Athletes First,1229346
Damien Lewis,damien-lewis,damien lewis,Ace PR,1225535
Cameron Sample,cameron-sample,cameron sample,Octagon,1225000
Ja'Tavion Sanders,jatavion-sanders,jatavion sanders,SportStars,1223559
Kendrick Green,kendrick-green,kendrick green,Clarity Sports International,1218942
Brandon Jones,brandon-jones,brandon jones,Roc Nation,1218273
Trey Sermon,trey-sermon,trey sermon,The Sports & Entertainment Group,1218234
Phillip Dorsett,phillip-dorsett,phillip dorsett,Agency 1 Athlete Management Group,1217500
Dadrion Taylor-Demerson,dadrion-taylor-demerson,dadrion taylordemerson,Octagon,1216711
Tonka Hemingway,tonka-hemingway,tonka hemingway,Priority Sports & Entertainment,1216454
Elic Ayomanor,elic-ayomanor,elic ayomanor,Klutch Sports Group,1216454
Jalen Davis,jalen-davis,jalen davis,The Familie,1215000
Justin Eboigbe,justin-eboigbe,justin eboigbe,QC Sports,1214753
Cedric Gray,cedric-gray,cedric gray,Goal Line Football,1213623
Luke Rhodes,luke-rhodes,luke rhodes,360 Sports Rep,1212500
Monty Rice,monty-rice,monty rice,WIN Sports Group,1212215
Brandon Dorlus,brandon-dorlus,brandon dorlus,Trust Sports & Entertainment,1210599
Evan Williams,evan-williams,evan williams,Grand Central Sports Management,1205720
Ben Cleveland,ben-cleveland,ben cleveland,Priority Sports & Entertainment,1205134
Davon Hamilton,davon-hamilton,davon hamilton,Athletes First,1205129
Devontez Walker,devontez-walker,devontez walker,The Sports & Entertainment Group,1204463
Jordan Jefferson,jordan-jefferson,jordan jefferson,Priority Sports & Entertainment,1200769
Collin Johnson,collin-johnson,collin johnson,Excel Sports Management,1200717
Tanor Bortolini,tanor-bortolini,tanor bortolini,1 of 1 Agency,1199968
Ernest Jones Iv,ernest-jones-iv,ernest jones,Agency 1 Athlete Management Group,1196463
Quinn Meinerz,quinn-meinerz,quinn meinerz,LIFT Sports Management,1196463
Ifeatu Melifonwu,ifeatu-melifonwu,ifeatu melifonwu,SES Sports,1196463
Ambry Thomas,ambry-thomas,ambry thomas,Rosenhaus Sports Representation,1196463
Mason Mccormick,mason-mccormick,mason mccormick,Red Envelope Sports,1196224
Jaylen Wright,jaylen-wright,jaylen wright,IFA (The Institute for Athletes),1195005
Darnay Holmes,darnay-holmes,darnay holmes,Be The Best Sports Group,1195000
Aj Barner,aj-barner,aj barner,1 of 1 Agency,1193777
Tory Taylor,tory-taylor,tory taylor,OG1 Athletes,1191975
Cade Stover,cade-stover,cade stover,CAA,1189734
Malik Mustapha,malik-mustapha,malik mustapha,Universal Sports & Entertainment Management,1189734
Bucky Irving,bucky-irving,bucky irving,VaynerSports,1187888
Giovanni Manu,giovanni-manu,giovanni manu,Klutch Sports Group,1186414
Cam Lewis,cam-lewis,cam lewis,SES Sports,1185000
Will Shipley,will-shipley,will shipley,MGC Sports,1184241
Ray Davis,ray-davis,ray davis,Leverage Football,1183297
Isaac Guerendo,isaac-guerendo,isaac guerendo,JL Sports Agency,1181132
Will Clapp,will-clapp,will clapp,Apex Sports Group,1180000
Jakob Johnson,jakob-johnson,jakob johnson,Rosenhaus Sports Representation,1180000
T.j. Tampa,tj-tampa,tj tampa,WIN Sports Group,1179614
Zach Triner,zach-triner,zach triner,International Sports Advisors,1172500
Nick Saldiveri,nick-saldiveri,nick saldiveri,Equity Sports,1170571
Jonah Williams,jonah-williams,jonah williams,United Athlete Sports,1170000
Marcus Epps,marcus-epps,marcus epps,International Sports Agency,1170000
C.j. Gardner-Johnson,cj-gardner-johnson,cj gardnerjohnson,Universal Sports & Entertainment Management,1170000
Cornell Armstrong,cornell-armstrong,cornell armstrong,Tessler Sports Management,1170000
Salvon Ahmed,salvon-ahmed,salvon ahmed,The Familie,1170000
Zayne Anderson,zayne-anderson,zayne anderson,Aura Sports Group,1170000
Gunner Olszewski,gunner-olszewski,gunner olszewski,1 of 1 Agency,1170000
Brett Toth,brett-toth,brett toth,SportStars,1170000
Eddy Pineiro,eddy-pineiro,eddy pineiro,Rosenhaus Sports Representation,1170000
Clelin Ferrell,clelin-ferrell,clelin ferrell,WIN Sports Group,1170000
Trystan Colon,trystan-colon,trystan colon,Upper Edge Management,1170000
Michael Jordan,michael-jordan,michael jordan,Milk & Honey Sports,1170000
Matt Nelson,matt-nelson,matt nelson,Milk & Honey Sports,1170000
Chris Lammons,chris-lammons,chris lammons,Goal Line Football,1170000
Zane Gonzalez,zane-gonzalez,zane gonzalez,VaynerSports,1170000
Michael Badgley,michael-badgley,michael badgley,VaynerSports,1170000
Sam Franklin,sam-franklin,sam franklin,National Sports Agency,1170000
Troy Reeder,troy-reeder,troy reeder,EnterSports Management,1170000
Cameron Johnston,cameron-johnston,cameron johnston,EnterSports Management,1170000
Kentavius Street,kentavius-street,kentavius street,Octagon,1170000
Robert Rochell,robert-rochell,robert rochell,Universal Sports & Entertainment Management,1170000
James Pierre,james-pierre,james pierre,Trust Sports & Entertainment,1170000
Adam Prentice,adam-prentice,adam prentice,Turner Sports Management,1170000
James Lynch,james-lynch,james lynch,LIFT Sports Management,1170000
Gardner Minshew,gardner-minshew,gardner minshew,SportStars,1170000
Dan Skipper,dan-skipper,dan skipper,Dream Point Sports,1170000
Daniel Brunskill,daniel-brunskill,daniel brunskill,Derrick Fox,1170000
Jake Curhan,jake-curhan,jake curhan,Priority Sports & Entertainment,1170000
Stone Forsythe,stone-forsythe,stone forsythe,AMDG Sports,1170000
Calvin Throckmorton,calvin-throckmorton,calvin throckmorton,IHC Sports,1170000
Tyler Johnson,tyler-johnson,tyler johnson,IFA (The Institute for Athletes),1170000
Jalyn Holmes,jalyn-holmes,jalyn holmes,IFA (The Institute for Athletes),1170000
Hakeem Adeniji,hakeem-adeniji,hakeem adeniji,Day 1 Sports & Entertainment,1170000
Sione Vaki,sione-vaki,sione vaki,The Standard,1168386
Carson Vinson,carson-vinson,carson vinson,1 of 1 Agency,1167399
Jakorian Bennett,jakorian-bennett,jakorian bennett,Roc Nation,1165899
Kelee Ringo,kelee-ringo,kelee ringo,The Familie,1165231
Laquon Treadwell,laquon-treadwell,laquon treadwell,Athlete Relations,1165000
Blake Freeland,blake-freeland,blake freeland,Excel Sports Management,1163970
Joshua Miles,joshua-miles,joshua miles,Dream Point Sports,1162500
Jake Andrews,jake-andrews,jake andrews,SportStars,1162086
Anthony Bradford,anthony-bradford,anthony bradford,AthElite Agency,1160996
Dylan Horton,dylan-horton,dylan horton,LIFT Sports Management,1160259
Adetomiwa Adebawore,adetomiwa-adebawore,adetomiwa adebawore,Athletes First,1159227
Dawand Jones,dawand-jones,dawand jones,Klutch Sports Group,1158083
Jaydon Blue,jaydon-blue,jaydon blue,Roc Nation,1156767
Chad Ryland,chad-ryland,chad ryland,LIFT Sports Management,1156687
Jason Marshall Jr.,jason-marshall-jr,jason marshall,Net Sports Management,1156323
Dj Giddens,dj-giddens,dj giddens,IFA (The Institute for Athletes),1156186
Jalen Rivers,jalen-rivers,jalen rivers,Rosenhaus Sports Representation,1155245
Tim Boyle,tim-boyle,tim boyle,Eastern Athletic Services,1155000
Dante Trader Jr.,dante-trader-jr,dante trader,The Sports & Entertainment Group,1153696
Jeffrey Bassa,jeffrey-bassa,jeffrey bassa,Ace PR,1153413
Clark Phillips Iii,clark-phillips-iii,clark phillips,Aura Sports Group,1153382
Zack Moss,zack-moss,zack moss,"Lessem, Newstat & Tooson",1153079
Chandler Zavala,chandler-zavala,chandler zavala,Day 1 Sports & Entertainment,1152934
Elijah Roberts,elijah-roberts,elijah roberts,Grady Sports Agency,1152448
Roschon Johnson,roschon-johnson,roschon johnson,Roc Nation,1152172
Keandre Lambert-Smith,keandre-lambert-smith,keandre lambertsmith,Young Money APAA Sports,1152001
Colby Wooden,colby-wooden,colby wooden,WME,1151982
Marques Sigle,marques-sigle,marques sigle,Milk & Honey Sports,1150594
Chazz Surratt,chazz-surratt,chazz surratt,SportsTrust Advisors,1150000
Quintin Morris,quintin-morris,quintin morris,Exclusive Sports Group,1150000
Smael Mondon Jr.,smael-mondon-jr,smael mondon,Rosenhaus Sports Representation,1148865
Francisco Mauigoa,francisco-mauigoa,francisco mauigoa,Younger & Associates,1148632
Braeden Daniels,braeden-daniels,braeden daniels,The Sports & Entertainment Group,1148613
Chamarri Conner,chamarri-conner,chamarri conner,SportStars,1147842
Mitchell Evans,mitchell-evans,mitchell evans,JB Sports,1147742
Kristian Wilkerson,kristian-wilkerson,kristian wilkerson,Green Destiny Athletics,1147500
Bill Murray,bill-murray,bill murray,Generation Sports Group,1147500
Jordan Elliott,jordan-elliott,jordan elliott,First Round Management,1147108
J.j. Taylor,jj-taylor,jj taylor,Apex Sports Group,1146250
Carter Warren,carter-warren,carter warren,1 of 1 Agency,1146080
Ventrell Miller,ventrell-miller,ventrell miller,Milk & Honey Sports,1144234
Jon Gaines Ii,jon-gaines-ii,jon gaines,Steinberg Sports & Entertainment,1143060
Jackson Slater,jackson-slater,jackson slater,Priority Sports & Entertainment,1140153
Corey Ballentine,corey-ballentine,corey ballentine,SportStars,1140000
Drew Kendall,drew-kendall,drew kendall,Brad Blank & Associates,1138769
Derius Davis,derius-davis,derius davis,Generation Sports Group,1137983
Isaiah Mcguire,isaiah-mcguire,isaiah mcguire,Equity Sports,1137983
Braelon Allen,braelon-allen,braelon allen,Athletes First,1137177
Jaden Hicks,jaden-hicks,jaden hicks,Fritz Martin Management,1137177
Stetson Bennett,stetson-bennett,stetson bennett,Equity Sports,1134785
Tyler Lacy,tyler-lacy,tyler lacy,Sean Howard,1131781
Robbie Ouzts,robbie-ouzts,robbie ouzts,Younger & Associates,1130054
Jackson Hawes,jackson-hawes,jackson hawes,VaynerSports,1130054
Miles Frazier,miles-frazier,miles frazier,1 of 1 Agency,1130054
Denzel Burke,denzel-burke,denzel burke,Klutch Sports Group,1130054
Charlie Jones,charlie-jones,charlie jones,CAA,1129694
Nick Herbig,nick-herbig,nick herbig,1 of 1 Agency,1128230
Alex Highsmith,alex-highsmith,alex highsmith,The Team,1124851
Cade Otton,cade-otton,cade otton,Excel Sports Management,1123486
Jay Ward,jay-ward,jay ward,Universal Sports & Entertainment Management,1123386
Bilhal Kone,bilhal-kone,bilhal kone,SportStars,1119286
Ollie Gordon Ii,ollie-gordon-ii,ollie gordon,The Familie,1118166
Coby Bryant,coby-bryant,coby bryant,Klutch Sports Group,1116951
Jj Pegues,jj-pegues,jj pegues,SportStars,1116785
Daniel Faalele,daniel-faalele,daniel faalele,Ace PR,1115085
Andres Borregales,andres-borregales,andres borregales,First Round Management,1114121
Daniel Bellinger,daniel-bellinger,daniel bellinger,JB Sports,1113276
Devin Neal,devin-neal,devin neal,Klutch Sports Group,1112828
Percy Butler,percy-butler,percy butler,AthElite Agency,1112254
Tyler Loop,tyler-loop,tyler loop,ProStar Sports Agency,1111193
Dane Belton,dane-belton,dane belton,SportStars,1111122
Jaylen Reed,jaylen-reed,jaylen reed,Rosenhaus Sports Representation,1110950
Damarri Mathis,damarri-mathis,damarri mathis,SportStars,1109741
Myles Hinton,myles-hinton,myles hinton,WIN Sports Group,1108316
Bryce Cabeldue,bryce-cabeldue,bryce cabeldue,LIFT Sports Management,1108065
Tahj Brooks,tahj-brooks,tahj brooks,IFA (The Institute for Athletes),1107714
Jalen Mcleod,jalen-mcleod,jalen mcleod,National Sports Agency,1107632
Luke Newman,luke-newman,luke newman,Clarity Sports International,1107515
Graham Mertz,graham-mertz,graham mertz,Equity Sports,1107121
Warren Brinson,warren-brinson,warren brinson,Leverage Football,1106596
Eyioma Uwazurike,eyioma-uwazurike,eyioma uwazurike,LIFT Sports Management,1106467
Micheal Clemons,micheal-clemons,micheal clemons,Roc Nation,1106024
Akayleb Evans,akayleb-evans,akayleb evans,SportStars,1105269
Jalyn Armour-Davis,jalyn-armour-davis,jalyn armourdavis,Roc Nation,1105082
Gavin Bartholomew,gavin-bartholomew,gavin bartholomew,1 of 1 Agency,1103956
Lajohntay Wester,lajohntay-wester,lajohntay wester,Next Page Sports,1103717
Ajani Cornelius,ajani-cornelius,ajani cornelius,Athletes First,1103494
Chase Lundt,chase-lundt,chase lundt,Clarity Sports International,1101231
Zamir White,zamir-white,zamir white,Roc Nation,1100983
Cameron Williams,cameron-williams,cameron williams,CAA,1100393
Jon Rhattigan,jon-rhattigan,jon rhattigan,JL Sports Agency,1100000
Tre Avery,tre-avery,tre avery,Equity Sports,1100000
Cole Strange,cole-strange,cole strange,CAA,1100000
Ronnie Rivers,ronnie-rivers,ronnie rivers,Capital Sports Advisors,1100000
Garret Wallow,garret-wallow,garret wallow,Klutch Sports Group,1100000
Tom Kennedy,tom-kennedy,tom kennedy,BIG,1100000
Zachary Carter,zachary-carter,zachary carter,"CMV Sports, LLC",1100000
Brock Hoffman,brock-hoffman,brock hoffman,Upper Edge Management,1100000
Cal Adomitis,cal-adomitis,cal adomitis,United Athlete Sports,1100000
Trey Hill,trey-hill,trey hill,Independent Sports & Entertainment,1100000
Darrell Baker Jr.,darrell-baker-jr,darrell baker,Universal Sports & Entertainment Management,1100000
Jamarco Jones,jamarco-jones,jamarco jones,IHC Sports,1100000
Sam Roberts,sam-roberts,sam roberts,Leverage Football,1100000
Tyquan Thornton,tyquan-thornton,tyquan thornton,Disruptive,1100000
Shane Zylstra,shane-zylstra,shane zylstra,VaynerSports,1100000
Xavier Newman-Johnson,xavier-newman-johnson,xavier newmanjohnson,Team Musgrove Sports Agency,1100000
Nehemiah Pritchett,nehemiah-pritchett,nehemiah pritchett,BC Sports,1099768
Tarheeb Still,tarheeb-still,tarheeb still,IFA (The Institute for Athletes),1098930
Jimmy Horn Jr.,jimmy-horn-jr,jimmy horn,GSE Worldwide,1098860
Jordan Magee,jordan-magee,jordan magee,Clarity Sports International,1097807
Cade York,cade-york,cade york,Klutch Sports Group,1097410
Erik Ezukanma,erik-ezukanma,erik ezukanma,Roc Nation,1096248
Cam Hart,cam-hart,cam hart,The Sports & Entertainment Group,1095982
Sedrick Van Pran-Granger,sedrick-van-pran-granger,sedrick van prangranger,WIN Sports Group,1093813
Robert Longerbeam,robert-longerbeam,robert longerbeam,Neil S Schwartz Associates Inc,1093570
R.j. Mickens,rj-mickens,rj mickens,Young Money APAA Sports,1093570
Aeneas Peebles,aeneas-peebles,aeneas peebles,Roc Nation,1093570
Hayden Conner,hayden-conner,hayden conner,The Sports & Entertainment Group,1093570
Jeremy Crawshaw,jeremy-crawshaw,jeremy crawshaw,OG1 Athletes,1093570
Pierre Strong Jr.,pierre-strong-jr,pierre strong,United Sports Group,1093358
Anthony Gould,anthony-gould,anthony gould,First Round Management,1093166
Austin Booker,austin-booker,austin booker,Grand Central Sports Management,1092285
Kris Abrams-Draine,kris-abrams-draine,kris abramsdraine,Octagon,1092068
Jake Ferguson,jake-ferguson,jake ferguson,JB Sports,1091221
Charlie Kolar,charlie-kolar,charlie kolar,The Team,1091221
Jarvis Brownlee Jr.,jarvis-brownlee-jr,jarvis brownlee,Rosenhaus Sports Representation,1090509
Jordan Stout,jordan-stout,jordan stout,SportStars,1089459
Josh Newton,josh-newton,josh newton,Elite Loyalty Sports,1089319
Spencer Rattler,spencer-rattler,spencer rattler,Equity Sports,1089120
Jaylon Carlies,jaylon-carlies,jaylon carlies,Priority Sports & Entertainment,1089060
Jay Toia,jay-toia,jay toia,Aura Sports Group,1088279
Jack Nelson,jack-nelson,jack nelson,Ace PR,1088154
Hassan Haskins,hassan-haskins,hassan haskins,Sixteenth,1088055
Mason Kinsey,mason-kinsey,mason kinsey,"NC Sports, LLC",1087500
James Houston,james-houston,james houston,First Round Management,1087500
Thomas Fidone Ii,thomas-fidone-ii,thomas fidone,Apex Sports Group,1087379
Brennan Jackson,brennan-jackson,brennan jackson,Leverage Football,1087342
Marcus Bryant,marcus-bryant,marcus bryant,Independent Sports & Entertainment,1087082
