name,pos_detail,team_full,fa_type,snap_pct,age,prior_apy,prior_gtd,team,pos_group,slug,low,high,midpoint,comp_count,comp_names,method
Malcolm Koonce,EDGE,Raiders,UFA,44.5,29.0,11010000.0,10500000.0,LV,EDGE,malcolm-koonce,5.3,22.5,8.5,22,"['Baron Browning (age 28, $7.5M)', 'Anthony Nelson (age 30, $5.0M)', 'Arnold Ebiketie (age 28, $4.3M)', 'Charles Omenihu (age 30, $4.0M)']","22 comps at EDGE, age 26.0-32.0"
Dorance Armstrong Jr.,EDGE,Commanders,Void,21.0,30.0,11000000.0,16125000.0,WAS,EDGE,dorance-armstrong-jr,5.3,21.4,8.5,22,"['Anthony Nelson (age 30, $5.0M)', 'Charles Omenihu (age 30, $4.0M)', 'Malcolm Koonce (age 29, $11.0M)', 'Uchenna Nwosu (age 31, $9.8M)']","22 comps at EDGE, age 27.0-33.0"
Christian Watson,WR,Packers,Void,39.8,28.0,11000000.0,6067078.0,GB,WR,christian-watson,21.0,25.7,22.9,20,"['Brandon Aiyuk (age 28, $30.0M)', 'Jaylen Waddle (age 28, $28.2M)', 'DeVonta Smith (age 28, $25.0M)', 'Marquise Brown (age 30, $5.0M)']","20 comps at WR, age 25.0-31.0"
Justin Fields,QB,Chiefs,Void,47.8,28.0,11000000.0,11000000.0,KC,QB,justin-fields,41.0,44.0,42.2,10,"['Jordan Love (age 28, $55.0M)', 'Justin Herbert (age 28, $52.5M)', 'Jalen Hurts (age 28, $51.0M)', 'Trevor Lawrence (age 27, $55.0M)']","10 comps at QB, age 25.0-31.0"
K'Lavon Chaisson,EDGE,Commanders,UFA,62.5,28.0,11000000.0,10300000.0,WAS,EDGE,klavon-chaisson,6.9,28.2,10.3,19,"['Will McDonald IV (age 28, $4.1M)', 'Baron Browning (age 28, $7.5M)', 'Brian Burns (age 28, $28.2M)', 'Josh Hines-Allen (age 28, $28.2M)']","19 comps at EDGE, age 25.0-31.0"
David Onyemata,IDL,Jets,Void,57.4,35.0,10500000.0,9650000.0,NYJ,IDL,david-onyemata,5.8,20.0,10.3,13,"['Roy Robertson-Harris (age 34, $4.5M)', 'Grover Stewart (age 34, $13.0M)', 'Nathan Shepherd (age 34, $4.3M)', 'Aaron Donald (age 34, $31.7M)']","13 comps at IDL, age 32.0-38.0"
Frankie Luvu,EDGE,Commanders,Void,97.2,31.0,10333333.0,14625000.0,WAS,EDGE,frankie-luvu,5.8,33.7,15.3,20,"['Danielle Hunter (age 31, $17.5M)', 'Myles Garrett (age 30, $40.0M)', 'T.J. Watt (age 32, $28.0M)', 'Uchenna Nwosu (age 31, $9.8M)']","20 comps at EDGE, age 28.0-34.0"
T.J. Hockenson,TE,Vikings,Void,69.0,30.0,10250000.0,10150000.0,MIN,TE,tj-hockenson,6.1,14.3,8.8,10,"['Charlie Woerner (age 30, $4.0M)', 'Mark Andrews (age 31, $14.0M)', 'Dallas Goedert (age 32, $7.0M)', 'Brock Wright (age 29, $4.0M)']","10 comps at TE, age 27.0-33.0"
Kristian Fulton,CB,Chiefs,UFA,20.0,29.0,10000000.0,15000000.0,KC,CB,kristian-fulton,4.6,15.3,7.2,16,"['Cobie Durant (age 29, $4.0M)', 'Jaire Alexander (age 29, $21.0M)', 'Isaiah Rodgers (age 29, $5.5M)', 'Tariq Woolen (age 28, $12.0M)']","16 comps at CB, age 26.0-32.0"
Kenny Moore,CB,Colts,Void,61.5,32.0,10000000.0,16000000.0,IND,CB,kenny-moore,4.2,15.5,4.8,9,"['Donte Jackson (age 32, $6.5M)', 'Chidobe Awuzie (age 32, $5.0M)', 'Marlon Humphrey (age 31, $19.5M)', 'Marshon Lattimore (age 30, $19.4M)']","9 comps at CB, age 29.0-35.0"
