name,pos_detail,team_full,fa_type,snap_pct,age,prior_apy,prior_gtd,team,pos_group,slug,low,high,midpoint,comp_count,comp_names,method
Brandin Echols,CB,Steelers,UFA,44.8,30.0,3000000.0,1830000.0,PIT,CB,brandin-echols,4.5,14.3,6.4,15,"['Marshon Lattimore (age 30, $19.4M)', 'Chidobe Awuzie (age 32, $5.0M)', 'Keisean Nixon (age 30, $6.0M)', 'Cobie Durant (age 29, $4.0M)']","15 comps at CB, age 27.0-33.0"
Durham Smythe,TE,Ravens,UFA,25.4,32.0,3000000.0,2000000.0,BAL,TE,durham-smythe,5.0,9.7,7.7,8,"['Evan Engram (age 33, $11.5M)', 'Dallas Goedert (age 32, $7.0M)', 'Charlie Woerner (age 30, $4.0M)', 'Brock Wright (age 29, $4.0M)']","8 comps at TE, age 29.0-35.0"
Christian Kirk,WR,49ers,UFA,37.3,31.0,3000000.0,2780000.0,SF,WR,christian-kirk,6.4,23.6,22.0,11,"['Marquise Brown (age 30, $5.0M)', 'Demarcus Robinson (age 33, $4.0M)', 'Terry McLaurin (age 31, $29.0M)', 'Christian Watson (age 28, $11.0M)']","11 comps at WR, age 28.0-34.0"
Shelby Harris,IDL,Giants,UFA,48.2,36.0,3000000.0,2660000.0,NYG,IDL,shelby-harris,4.6,18.0,8.8,9,"['David Onyemata (age 35, $10.5M)', 'Roy Robertson-Harris (age 34, $4.5M)', 'Grover Stewart (age 34, $13.0M)', 'Nathan Shepherd (age 34, $4.3M)']","9 comps at IDL, age 33.0-39.0"
Andrew Wingard,S,Cardinals,UFA,87.7,31.0,3000000.0,1850000.0,ARI,S,andrew-wingard,6.4,18.2,8.6,11,"['Derwin James (age 31, $19.0M)', 'Jessie Bates III (age 30, $16.0M)', 'Malik Hooker (age 31, $5.0M)', 'Jeremy Chinn (age 29, $8.1M)']","11 comps at S, age 28.0-34.0"
Ar'Darius Washington,S,Giants,UFA,5.4,28.0,3000000.0,1500000.0,NYG,S,ardarius-washington,4.9,15.0,9.6,11,"['Antoine Winfield Jr. (age 28, $21.0M)', 'Dane Belton (age 27, $4.0M)', 'Brandon Jones (age 29, $6.7M)', 'Jaquan Brisker (age 28, $5.5M)']","11 comps at S, age 25.0-31.0"
Da'Shawn Hand,EDGE,Falcons,UFA,44.3,32.0,3000000.0,1500000.0,ATL,EDGE,dashawn-hand,5.9,20.4,11.6,15,"['Al-Quadin Muhammad (age 32, $4.0M)', 'Andrew Van Ginkel (age 32, $23.0M)', 'Uchenna Nwosu (age 31, $9.8M)', 'T.J. Watt (age 32, $28.0M)']","15 comps at EDGE, age 29.0-35.0"
Justice Hill,RB,Ravens,UFA,21.6,30.0,3000000.0,4441176.0,BAL,RB,justice-hill,6.0,12.4,9.7,10,"['Tony Pollard (age 30, $7.2M)', 'Christian McCaffrey (age 30, $19.0M)', 'Alvin Kamara (age 32, $12.2M)', 'Jordan Mason (age 28, $5.2M)']","10 comps at RB, age 27.0-33.0"
Felix Anudike-Uzomah,EDGE,Chiefs,UFA,0.0,25.0,2954455.0,11817820.0,KC,EDGE,felix-anudike-uzomah,5.3,19.1,6.7,10,"['Tyree Wilson (age 27, $6.3M)', 'Kingsley Enagbare (age 27, $9.0M)', 'Kayvon Thibodeaux (age 27, $7.8M)', 'Arnold Ebiketie (age 28, $4.3M)']","10 comps at EDGE, age 22.0-28.0"
Daxton Hill,CB,Bengals,UFA,92.9,27.0,2916755.0,11667018.0,CIN,CB,daxton-hill,6.8,23.9,16.7,14,"['Greg Newsome II (age 27, $8.0M)', ""Ja'Quan McMillian (age 27, $5.8M)"", 'Jaylon Johnson (age 28, $19.0M)', 'Patrick Surtain II (age 26, $24.0M)']","14 comps at CB, age 24.0-30.0"
Kyle Hinton,RG,Falcons,UFA,16.9,29.0,2875000.0,2575000.0,ATL,OL,kyle-hinton,4.8,14.7,9.0,26,"['Jaylon Moore (age 29, $15.0M)', 'Austin Jackson (age 28, $7.0M)', 'Chris Lindstrom (age 29, $20.5M)', 'Ben Powers (age 31, $13.0M)']","26 comps at OL, age 26.0-32.0"
Denzel Perryman,LB,Chargers,UFA,29.3,35.0,2790000.0,500000.0,LAC,LB,denzel-perryman,6.2,14.0,7.0,7,"['Lavonte David (age 36, $8.0M)', 'Bobby Wagner (age 36, $7.5M)', 'Blake Cashman (age 31, $7.5M)', 'Roquan Smith (age 30, $20.0M)']","7 comps at LB, age 32.0-38.0"
Samson Ebukam,EDGE,Falcons,UFA,35.7,32.0,2765000.0,700000.0,ATL,EDGE,samson-ebukam,5.9,20.4,11.6,15,"['Al-Quadin Muhammad (age 32, $4.0M)', 'Andrew Van Ginkel (age 32, $23.0M)', 'Uchenna Nwosu (age 31, $9.8M)', 'Anthony Nelson (age 30, $5.0M)']","15 comps at EDGE, age 29.0-35.0"
Michael Carter II,CB,Eagles,Void,22.2,28.0,2765000.0,1450000.0,PHI,CB,michael-carter-ii,4.7,16.2,13.4,15,"['Tariq Woolen (age 28, $12.0M)', 'Jaylon Johnson (age 28, $19.0M)', 'Trevon Diggs (age 28, $16.8M)', ""Ja'Quan McMillian (age 27, $5.8M)""]","15 comps at CB, age 25.0-31.0"
Danny Pinter,C,Ravens,UFA,12.9,31.0,2750000.0,1500000.0,BAL,OL,danny-pinter,4.8,15.1,10.2,26,"['Ben Powers (age 31, $13.0M)', 'Kevin Dotson (age 31, $16.0M)', 'Jaylon Moore (age 29, $15.0M)', 'Jawaan Taylor (age 30, $5.0M)']","26 comps at OL, age 28.0-34.0"
Lacale London,IDL,Falcons,UFA,24.5,30.0,2750000.0,750000.0,ATL,IDL,lacale-london,7.0,18.0,9.2,15,"['Davon Hamilton (age 30, $11.5M)', 'Daron Payne (age 30, $22.5M)', 'Tedarrell Slaton (age 30, $7.0M)', 'Harrison Phillips (age 31, $7.5M)']","15 comps at IDL, age 27.0-33.0"
Troy Dye,LB,Chargers,UFA,46.5,31.0,2750000.0,3000000.0,LAC,LB,troy-dye,5.6,11.2,6.5,12,"['Blake Cashman (age 31, $7.5M)', 'Mack Wilson (age 29, $4.2M)', 'Roquan Smith (age 30, $20.0M)', 'Fred Warner (age 30, $21.0M)']","12 comps at LB, age 28.0-34.0"
Luke Fortner,C,Panthers,UFA,60.3,29.0,2750000.0,1325000.0,CAR,OL,luke-fortner,4.8,14.7,9.0,26,"['Chris Lindstrom (age 29, $20.5M)', 'Jaylon Moore (age 29, $15.0M)', 'Larry Borom (age 28, $5.0M)', 'Jawaan Taylor (age 30, $5.0M)']","26 comps at OL, age 26.0-32.0"
Darian Kinnard,RT,Packers,UFA,27.1,28.0,2750000.0,1000000.0,GB,OL,darian-kinnard,5.3,15.4,10.2,24,"['Austin Jackson (age 28, $7.0M)', 'Jaylon Moore (age 29, $15.0M)', 'Larry Borom (age 28, $5.0M)', 'Tristan Wirfs (age 28, $28.1M)']","24 comps at OL, age 25.0-31.0"
Christian Harris,LB,Falcons,UFA,8.9,26.0,2750000.0,1985000.0,ATL,LB,christian-harris,4.4,8.3,5.6,7,"['Isaiah McDuffie (age 28, $4.0M)', 'Zaven Collins (age 28, $7.0M)', 'Christian Elliss (age 28, $6.8M)', 'Mack Wilson (age 29, $4.2M)']","7 comps at LB, age 23.0-29.0"
Otito Ogbonnia,IDL,Cowboys,UFA,13.6,27.0,2750000.0,2000000.0,DAL,IDL,otito-ogbonnia,9.2,18.0,18.0,5,"['Dexter Lawrence (age 28, $22.5M)', 'Jeffery Simmons (age 28, $23.5M)', 'Davon Hamilton (age 30, $11.5M)', 'Daron Payne (age 30, $22.5M)']","5 comps at IDL, age 24.0-30.0"
Malcolm Rodriguez,LB,Lions,UFA,6.5,28.0,2750000.0,2700000.0,DET,LB,malcolm-rodriguez,5.6,11.2,6.5,12,"['Isaiah McDuffie (age 28, $4.0M)', 'Zaven Collins (age 28, $7.0M)', 'Christian Elliss (age 28, $6.8M)', 'Mack Wilson (age 29, $4.2M)']","12 comps at LB, age 25.0-31.0"
Akeem Davis-Gaither,LB,Colts,UFA,68.2,30.0,2725000.0,1500000.0,IND,LB,akeem-davis-gaither,6.8,13.7,7.9,12,"['Roquan Smith (age 30, $20.0M)', 'Fred Warner (age 30, $21.0M)', 'Foyesade Oluokun (age 30, $15.0M)', 'Divine Deablo (age 29, $7.0M)']","12 comps at LB, age 27.0-33.0"
M.J. Stewart,S,Texans,UFA,21.9,32.0,2700000.0,500000.0,HOU,S,mj-stewart,5.3,12.8,6.5,9,"['Will Harris (age 32, $4.0M)', 'Malik Hooker (age 31, $5.0M)', 'Derwin James (age 31, $19.0M)', 'Brandon Jones (age 29, $6.7M)']","9 comps at S, age 29.0-35.0"
Mo Alie-Cox,TE,Colts,UFA,39.1,34.0,2687500.0,2187500.0,IND,TE,mo-alie-cox,7.2,11.2,9.2,5,"['Evan Engram (age 33, $11.5M)', 'Hunter Henry (age 33, $9.0M)', 'George Kittle (age 33, $19.1M)', 'Dallas Goedert (age 32, $7.0M)']","5 comps at TE, age 31.0-37.0"
Tommy Togiai,IDL,Texans,UFA,44.2,28.0,2680000.0,2295000.0,HOU,IDL,tommy-togiai,6.8,18.0,13.6,6,"['Dexter Lawrence (age 28, $22.5M)', 'Jeffery Simmons (age 28, $23.5M)', 'Davon Hamilton (age 30, $11.5M)', 'Daron Payne (age 30, $22.5M)']","6 comps at IDL, age 25.0-31.0"
Jake Hansen,LB,Texans,UFA,0.9,29.0,2675000.0,1650000.0,HOU,LB,jake-hansen,5.6,11.2,6.5,12,"['Mack Wilson (age 29, $4.2M)', 'Isaiah McDuffie (age 28, $4.0M)', 'Zaven Collins (age 28, $7.0M)', 'Divine Deablo (age 29, $7.0M)']","12 comps at LB, age 26.0-32.0"
Elijah Hicks,S,Bears,UFA,5.8,28.0,2600000.0,1687500.0,CHI,S,elijah-hicks,4.9,15.0,9.6,11,"['Antoine Winfield Jr. (age 28, $21.0M)', 'Dane Belton (age 27, $4.0M)', 'Brandon Jones (age 29, $6.7M)', 'Jaquan Brisker (age 28, $5.5M)']","11 comps at S, age 25.0-31.0"
Julian Blackmon,S,Saints,UFA,6.0,29.0,2535000.0,1000000.0,NO,S,julian-blackmon,4.2,13.8,6.5,11,"['Brandon Jones (age 29, $6.7M)', 'Minkah Fitzpatrick (age 29, $18.4M)', 'Jeremy Chinn (age 29, $8.1M)', 'Malik Hooker (age 31, $5.0M)']","11 comps at S, age 26.0-32.0"
Evan Brown,RG,Texans,UFA,67.8,31.0,2500000.0,1000000.0,HOU,OL,evan-brown,5.2,16.2,11.0,26,"['Kevin Dotson (age 31, $16.0M)', 'Jawaan Taylor (age 30, $5.0M)', ""Brian O'Neill (age 32, $18.5M)"", 'Ben Powers (age 31, $13.0M)']","26 comps at OL, age 28.0-34.0"
Hunter Long,TE,Jaguars,UFA,22.4,29.0,2500000.0,3000000.0,JAX,TE,hunter-long,4.2,11.2,6.0,9,"['Brock Wright (age 29, $4.0M)', 'Charlie Woerner (age 30, $4.0M)', 'Colby Parkinson (age 28, $7.5M)', 'T.J. Hockenson (age 30, $10.2M)']","9 comps at TE, age 26.0-32.0"
Andre Cisco,S,Jets,UFA,44.2,27.0,2500000.0,1250000.0,NYJ,S,andre-cisco,5.3,14.7,9.6,9,"['Dane Belton (age 27, $4.0M)', 'Antoine Winfield Jr. (age 28, $21.0M)', 'Brandon Jones (age 29, $6.7M)', 'Jaquan Brisker (age 28, $5.5M)']","9 comps at S, age 24.0-30.0"
Oren Burks,LB,Bengals,UFA,31.2,32.0,2500000.0,750000.0,CIN,LB,oren-burks,5.8,14.0,7.0,7,"['Blake Cashman (age 31, $7.5M)', 'Mack Wilson (age 29, $4.2M)', 'Roquan Smith (age 30, $20.0M)', 'Fred Warner (age 30, $21.0M)']","7 comps at LB, age 29.0-35.0"
Rigoberto Sanchez,P,Colts,UFA,30.7,33.0,2500000.0,2500000.0,IND,ST,rigoberto-sanchez,4.0,4.8,4.2,5,"['Chase McLaughlin (age 31, $4.1M)', 'Chris Boswell (age 36, $5.0M)', 'Jason Myers (age 36, $5.3M)', 'Harrison Butker (age 31, $6.4M)']","5 comps at ST, age 30.0-36.0"
Skyy Moore,WR,Packers,UFA,9.8,27.0,2500000.0,1000000.0,GB,WR,skyy-moore,20.0,26.0,22.8,21,"['Christian Watson (age 28, $11.0M)', 'Chris Olave (age 27, $4.8M)', 'Justin Jefferson (age 27, $35.0M)', 'CeeDee Lamb (age 27, $34.0M)']","21 comps at WR, age 24.0-30.0"
Brock Hoffman,RG,Steelers,UFA,40.0,28.0,2500000.0,750000.0,PIT,OL,brock-hoffman,5.3,15.4,10.2,24,"['Austin Jackson (age 28, $7.0M)', 'Jaylon Moore (age 29, $15.0M)', 'Larry Borom (age 28, $5.0M)', 'Tristan Wirfs (age 28, $28.1M)']","24 comps at OL, age 25.0-31.0"
Alec Anderson,RT,Bills,UFA,16.7,28.0,2500000.0,1800000.0,BUF,OL,alec-anderson,5.3,15.4,10.2,24,"['Austin Jackson (age 28, $7.0M)', 'Jaylon Moore (age 29, $15.0M)', 'Larry Borom (age 28, $5.0M)', 'Tristan Wirfs (age 28, $28.1M)']","24 comps at OL, age 25.0-31.0"
Sam Howell,QB,Cowboys,UFA,0.0,27.0,2500000.0,2500000.0,DAL,QB,sam-howell,41.0,44.0,42.2,10,"['Justin Fields (age 28, $11.0M)', 'Trevor Lawrence (age 27, $55.0M)', 'Brock Purdy (age 27, $53.0M)', 'Jordan Love (age 28, $55.0M)']","10 comps at QB, age 24.0-30.0"
Justin Watson,WR,Texans,UFA,5.9,31.0,2500000.0,3000000.0,HOU,WR,justin-watson,6.4,23.6,22.0,11,"['Marquise Brown (age 30, $5.0M)', 'Demarcus Robinson (age 33, $4.0M)', 'Terry McLaurin (age 31, $29.0M)', 'Christian Watson (age 28, $11.0M)']","11 comps at WR, age 28.0-34.0"
Brian Robinson Jr.,RB,Falcons,UFA,20.5,28.0,2500000.0,775000.0,ATL,RB,brian-robinson-jr,6.4,11.4,9.6,10,"['Jordan Mason (age 28, $5.2M)', ""D'Andre Swift (age 28, $8.0M)"", 'Josh Jacobs (age 28, $12.0M)', 'Jonathan Taylor (age 28, $14.0M)']","10 comps at RB, age 25.0-31.0"
Eric Saubert,TE,Seahawks,UFA,25.6,33.0,2500000.0,788888.0,SEA,TE,eric-saubert,6.4,10.2,8.2,7,"['Evan Engram (age 33, $11.5M)', 'Hunter Henry (age 33, $9.0M)', 'George Kittle (age 33, $19.1M)', 'Dallas Goedert (age 32, $7.0M)']","7 comps at TE, age 30.0-36.0"
Trey Lance,QB,Chargers,UFA,8.7,27.0,2500000.0,2000000.0,LAC,QB,trey-lance,41.0,44.0,42.2,10,"['Justin Fields (age 28, $11.0M)', 'Trevor Lawrence (age 27, $55.0M)', 'Brock Purdy (age 27, $53.0M)', 'Jordan Love (age 28, $55.0M)']","10 comps at QB, age 24.0-30.0"
Josh Blackwell,CB,Bears,UFA,0.3,28.0,2500000.0,2450000.0,CHI,CB,josh-blackwell,4.7,16.2,13.4,15,"['Tariq Woolen (age 28, $12.0M)', 'Jaylon Johnson (age 28, $19.0M)', 'Trevon Diggs (age 28, $16.8M)', ""Ja'Quan McMillian (age 27, $5.8M)""]","15 comps at CB, age 25.0-31.0"
Sam Williams,EDGE,Cowboys,UFA,42.8,28.0,2500000.0,2000000.0,DAL,EDGE,sam-williams,5.8,22.6,8.5,20,"['Baron Browning (age 28, $7.5M)', 'Arnold Ebiketie (age 28, $4.3M)', 'Will McDonald IV (age 28, $4.1M)', ""K'Lavon Chaisson (age 28, $11.0M)""]","20 comps at EDGE, age 25.0-31.0"
Ty Johnson,RB,Bills,UFA,29.6,30.0,2500000.0,2490000.0,BUF,RB,ty-johnson,6.0,12.4,9.7,10,"['Tony Pollard (age 30, $7.2M)', 'Christian McCaffrey (age 30, $19.0M)', 'Alvin Kamara (age 32, $12.2M)', 'Jordan Mason (age 28, $5.2M)']","10 comps at RB, age 27.0-33.0"
Tyrod Taylor,QB,Packers,UFA,24.0,38.0,2500000.0,700000.0,GB,QB,tyrod-taylor,7.0,20.5,9.0,3,"['Kirk Cousins (age 39, $11.3M)', 'Matt Stafford (age 39, $40.0M)', 'Jacoby Brissett (age 35, $6.2M)']","3 comps at QB, age 35.0-41.0"
Drew Lock,QB,Seahawks,UFA,3.5,31.0,2500000.0,2250000.0,SEA,QB,drew-lock,35.2,44.0,41.6,13,"['Patrick Mahomes (age 31, $45.0M)', 'Joe Burrow (age 30, $55.0M)', 'Josh Allen (age 30, $55.0M)', 'Jared Goff (age 32, $53.0M)']","13 comps at QB, age 28.0-34.0"
Brett Toth,LT,49ers,UFA,34.4,31.0,2500000.0,2215000.0,SF,OL,brett-toth,4.8,15.1,10.2,26,"['Ben Powers (age 31, $13.0M)', 'Kevin Dotson (age 31, $16.0M)', 'Jaylon Moore (age 29, $15.0M)', 'Jawaan Taylor (age 30, $5.0M)']","26 comps at OL, age 28.0-34.0"
Joey Porter Jr.,CB,Steelers,UFA,76.8,27.0,2404587.0,8999870.0,PIT,CB,joey-porter-jr,5.6,19.8,13.8,14,"['Greg Newsome II (age 27, $8.0M)', ""Ja'Quan McMillian (age 27, $5.8M)"", 'Jaylon Johnson (age 28, $19.0M)', 'Patrick Surtain II (age 26, $24.0M)']","14 comps at CB, age 24.0-30.0"
Andrew Billings,IDL,Cardinals,UFA,47.6,32.0,2400000.0,700000.0,ARI,IDL,andrew-billings,5.7,16.5,8.6,18,"['Maliek Collins (age 32, $10.0M)', ""A'Shawn Robinson (age 32, $10.0M)"", 'Dalvin Tomlinson (age 33, $6.2M)', 'Vita Vea (age 32, $17.8M)']","18 comps at IDL, age 29.0-35.0"
Will Levis,QB,Titans,UFA,0.0,28.0,2385541.0,8730957.0,TEN,QB,will-levis,38.4,44.0,42.0,11,"['Justin Fields (age 28, $11.0M)', 'Jordan Love (age 28, $55.0M)', 'Justin Herbert (age 28, $52.5M)', 'Jalen Hurts (age 28, $51.0M)']","11 comps at QB, age 25.0-31.0"
Sam LaPorta,TE,Lions,UFA,47.0,26.0,2366500.0,7825179.0,DET,TE,sam-laporta,4.6,11.1,7.2,6,"['Tommy Tremble (age 27, $5.2M)', 'Trey McBride (age 26, $16.5M)', 'Colby Parkinson (age 28, $7.5M)', 'Kyle Pitts (age 27, $15.0M)']","6 comps at TE, age 23.0-29.0"
Treylon Burks,WR,Commanders,UFA,27.7,27.0,2350000.0,400000.0,WAS,WR,treylon-burks,20.0,26.0,22.8,21,"['Christian Watson (age 28, $11.0M)', 'Chris Olave (age 27, $4.8M)', 'Justin Jefferson (age 27, $35.0M)', 'CeeDee Lamb (age 27, $34.0M)']","21 comps at WR, age 24.0-30.0"
Michael Mayer,TE,Raiders,UFA,46.8,26.0,2328410.0,7596697.0,LV,TE,michael-mayer,5.1,10.9,8.5,7,"['Tommy Tremble (age 27, $5.2M)', 'Trey McBride (age 26, $16.5M)', 'Colby Parkinson (age 28, $7.5M)', 'Sam LaPorta (age 25, $12.2M)']","7 comps at TE, age 23.0-29.0"
Steve Avila,LG,Rams,UFA,73.7,28.0,2313177.0,7442147.0,LAR,OL,steve-avila,6.3,18.1,12.0,24,"['Larry Borom (age 28, $5.0M)', 'Tristan Wirfs (age 28, $28.1M)', 'Andrew Thomas (age 28, $28.0M)', 'Landon Dickerson (age 28, $21.0M)']","24 comps at OL, age 25.0-31.0"
Sam Okuayinonu,EDGE,49ers,UFA,53.0,29.0,2300000.0,1800000.0,SF,EDGE,sam-okuayinonu,5.9,24.0,9.4,23,"['Malcolm Koonce (age 29, $11.0M)', 'Charles Omenihu (age 30, $4.0M)', 'Will McDonald IV (age 28, $4.1M)', 'Nick Bosa (age 29, $34.0M)']","23 comps at EDGE, age 26.0-32.0"
Derick Hall,EDGE,Seahawks,UFA,37.2,26.0,2278901.0,7222566.0,SEA,EDGE,derick-hall,6.1,22.6,8.8,14,"['Tyree Wilson (age 27, $6.3M)', 'Kingsley Enagbare (age 27, $9.0M)', 'Kayvon Thibodeaux (age 27, $7.8M)', 'Arnold Ebiketie (age 28, $4.3M)']","14 comps at EDGE, age 23.0-29.0"
Andrew Ogletree,TE,Colts,UFA,21.1,29.0,2250000.0,1500000.0,IND,TE,andrew-ogletree,4.2,11.2,6.0,9,"['Brock Wright (age 29, $4.0M)', 'Charlie Woerner (age 30, $4.0M)', 'Colby Parkinson (age 28, $7.5M)', 'T.J. Hockenson (age 30, $10.2M)']","9 comps at TE, age 26.0-32.0"
Bennett Skowronek,WR,Steelers,UFA,15.4,30.0,2250000.0,1080000.0,PIT,WR,bennett-skowronek,16.8,24.4,22.8,16,"['Marquise Brown (age 30, $5.0M)', 'Christian Watson (age 28, $11.0M)', 'Demarcus Robinson (age 33, $4.0M)', 'D.K. Metcalf (age 29, $33.0M)']","16 comps at WR, age 27.0-33.0"
Nick Niemann,LB,Packers,UFA,0.0,30.0,2250000.0,500000.0,GB,LB,nick-niemann,5.6,11.2,6.5,12,"['Mack Wilson (age 29, $4.2M)', 'Roquan Smith (age 30, $20.0M)', 'Fred Warner (age 30, $21.0M)', 'Foyesade Oluokun (age 30, $15.0M)']","12 comps at LB, age 27.0-33.0"
Nick Mullens,QB,Jaguars,UFA,3.1,32.0,2250000.0,3000000.0,JAX,QB,nick-mullens,28.8,43.6,38.8,10,"['Jared Goff (age 32, $53.0M)', 'Marcus Mariota (age 34, $7.0M)', 'Baker Mayfield (age 32, $33.3M)', 'Dak Prescott (age 33, $60.0M)']","10 comps at QB, age 29.0-35.0"
Matthew Bergeron,LG,Falcons,UFA,83.2,27.0,2244621.0,7014143.0,ATL,OL,matthew-bergeron,6.8,20.6,11.9,20,"['Creed Humphrey (age 27, $18.0M)', 'Ikem Ekwonu (age 27, $6.9M)', 'Rasheed Walker (age 27, $4.0M)', 'Tristan Wirfs (age 28, $28.1M)']","20 comps at OL, age 24.0-30.0"
Percy Butler,S,Commanders,UFA,1.8,27.0,2150000.0,3406000.0,WAS,S,percy-butler,5.3,14.7,9.6,9,"['Dane Belton (age 27, $4.0M)', 'Antoine Winfield Jr. (age 28, $21.0M)', 'Brandon Jones (age 29, $6.7M)', 'Jaquan Brisker (age 28, $5.5M)']","9 comps at S, age 24.0-30.0"
B.J. Ojulari,EDGE,Cardinals,UFA,17.8,25.0,2149404.0,6532849.0,ARI,EDGE,bj-ojulari,5.3,19.1,6.7,10,"['Tyree Wilson (age 27, $6.3M)', 'Kingsley Enagbare (age 27, $9.0M)', 'Kayvon Thibodeaux (age 27, $7.8M)', 'Arnold Ebiketie (age 28, $4.3M)']","10 comps at EDGE, age 22.0-28.0"
Tony Adams,S,Titans,UFA,41.5,28.0,2140000.0,1000000.0,TEN,S,tony-adams,4.9,15.0,9.6,11,"['Antoine Winfield Jr. (age 28, $21.0M)', 'Dane Belton (age 27, $4.0M)', 'Brandon Jones (age 29, $6.7M)', 'Jaquan Brisker (age 28, $5.5M)']","11 comps at S, age 25.0-31.0"
Luke Musgrave,TE,Packers,UFA,40.7,27.0,2118936.0,6348437.0,GB,TE,luke-musgrave,4.0,10.3,7.1,8,"['Tommy Tremble (age 27, $5.2M)', 'Colby Parkinson (age 28, $7.5M)', 'Brock Wright (age 29, $4.0M)', 'Kyle Pitts (age 27, $15.0M)']","8 comps at TE, age 24.0-30.0"
Nick Bellore,LB,Commanders,UFA,0.7,38.0,2100000.0,1750000.0,WAS,LB,nick-bellore,5.6,10.9,6.2,14,"['Lavonte David (age 36, $8.0M)', 'Bobby Wagner (age 36, $7.5M)', 'Blake Cashman (age 31, $7.5M)', 'Mack Wilson (age 29, $4.2M)']","14 comps at LB, age 35.0-41.0"
Fred Johnson,RG,Eagles,Void,59.4,30.0,2100000.0,800000.0,PHI,OL,fred-johnson,5.0,15.1,10.2,26,"['Jawaan Taylor (age 30, $5.0M)', 'Frank Ragnow (age 30, $14.0M)', 'Aaron Brewer (age 30, $7.0M)', 'Jon Runyan, Jr. (age 30, $10.0M)']","26 comps at OL, age 27.0-33.0"
Joe Tippmann,C,Jets,UFA,99.9,26.0,2089901.0,6167665.0,NYJ,OL,joe-tippmann,8.3,25.0,16.5,14,"['Rasheed Walker (age 27, $4.0M)', 'Ikem Ekwonu (age 27, $6.9M)', 'Broderick Jones (age 26, $4.2M)', 'Penei Sewell (age 25, $28.0M)']","14 comps at OL, age 23.0-29.0"
Julius Brents,CB,Dolphins,UFA,10.3,27.0,2049234.0,5975996.0,MIA,CB,julius-brents,4.7,16.5,11.5,14,"[""Ja'Quan McMillian (age 27, $5.8M)"", 'Greg Newsome II (age 27, $8.0M)', 'Tariq Woolen (age 28, $12.0M)', 'Jaylon Johnson (age 28, $19.0M)']","14 comps at CB, age 24.0-30.0"
Brian Branch,S,Lions,UFA,67.6,26.0,2005436.0,5623617.0,DET,S,brian-branch,5.2,15.4,8.2,8,"['Dane Belton (age 27, $4.0M)', 'Kyle Hamilton (age 25, $20.6M)', 'Antoine Winfield Jr. (age 28, $21.0M)', 'Brandon Jones (age 29, $6.7M)']","8 comps at S, age 23.0-29.0"
Chris Williams,IDL,Falcons,UFA,20.4,29.0,2000000.0,500000.0,ATL,IDL,chris-williams,8.0,18.0,9.2,11,"['Davon Hamilton (age 30, $11.5M)', 'Daron Payne (age 30, $22.5M)', 'Tedarrell Slaton (age 30, $7.0M)', 'Dexter Lawrence (age 28, $22.5M)']","11 comps at IDL, age 26.0-32.0"
Kalia Davis,IDL,Browns,UFA,45.3,29.0,2000000.0,1745000.0,CLE,IDL,kalia-davis,8.0,18.0,9.2,11,"['Davon Hamilton (age 30, $11.5M)', 'Daron Payne (age 30, $22.5M)', 'Tedarrell Slaton (age 30, $7.0M)', 'Dexter Lawrence (age 28, $22.5M)']","11 comps at IDL, age 26.0-32.0"
Chris Rumph II,EDGE,Saints,UFA,30.0,29.0,2000000.0,2000000.0,NO,EDGE,chris-rumph-ii,5.5,22.5,8.8,23,"['Malcolm Koonce (age 29, $11.0M)', 'Arnold Ebiketie (age 28, $4.3M)', 'Anthony Nelson (age 30, $5.0M)', 'Baron Browning (age 28, $7.5M)']","23 comps at EDGE, age 26.0-32.0"
Siran Neal,CB,49ers,Void,0.0,33.0,2000000.0,2255000.0,SF,CB,siran-neal,4.5,11.8,5.2,7,"['Chidobe Awuzie (age 32, $5.0M)', 'Donte Jackson (age 32, $6.5M)', 'Kenny Moore (age 32, $10.0M)', 'Marlon Humphrey (age 31, $19.5M)']","7 comps at CB, age 30.0-36.0"
Naquan Jones,IDL,Texans,UFA,17.7,29.0,2000000.0,300000.0,HOU,IDL,naquan-jones,8.0,18.0,9.2,11,"['Davon Hamilton (age 30, $11.5M)', 'Daron Payne (age 30, $22.5M)', 'Tedarrell Slaton (age 30, $7.0M)', 'Dexter Lawrence (age 28, $22.5M)']","11 comps at IDL, age 26.0-32.0"
Kene Nwangwu,RB,Jets,UFA,2.7,29.0,2000000.0,1000000.0,NYJ,RB,kene-nwangwu,6.4,11.8,9.7,12,"['Jordan Mason (age 28, $5.2M)', ""D'Andre Swift (age 28, $8.0M)"", 'Saquon Barkley (age 29, $20.6M)', 'Tony Pollard (age 30, $7.2M)']","12 comps at RB, age 26.0-32.0"
Thomas Incoom,EDGE,Panthers,UFA,2.4,28.0,2000000.0,1100000.0,CAR,EDGE,thomas-incoom,5.8,22.6,8.5,20,"['Arnold Ebiketie (age 28, $4.3M)', 'Baron Browning (age 28, $7.5M)', 'Will McDonald IV (age 28, $4.1M)', 'Tyree Wilson (age 27, $6.3M)']","20 comps at EDGE, age 25.0-31.0"
