Player,Pos.,2026 Team,2027 Team,Type,Snaps,Age,Current APY,Guarantees
Malik Harrison,LB,Steelers,,UFA,25.30%,29,"$5,000,000 ","$4,080,000 "
Ted Karras,C,Bengals,,UFA,100.00%,34,"$5,000,000 ","$1,000,000 "
Marquise Brown,WR,Eagles,,Void,49.50%,30,"$5,000,000 ","$5,000,000 "
Braxton Jones,LT,Bears,,UFA,18.20%,28,"$5,000,000 ","$3,000,000 "
Larry Borom,RT,Lions,,UFA,67.50%,28,"$5,000,000 ","$4,900,000 "
Anthony Nelson,EDGE,Buccaneers,,Void,37.00%,30,"$5,000,000 ","$5,500,000 "
Malik Hooker,S,Cowboys,,UFA,53.70%,31,"$5,000,000 ","$3,500,000 "
Chidobe Awuzie,CB,Ravens,,UFA,49.10%,32,"$5,000,000 ","$5,000,000 "
KC Concepcion,WR,Browns,,ERFA,0.00%,23,"$4,937,107 ",$0 
Dillon Thieneman,S,Bears,,ERFA,0.00%,23,"$4,878,115 ",$0 
Keylan Rutledge,G,Texans,,ERFA,0.00%,24,"$4,819,112 ",$0 
Chris Olave,WR,Saints,,UFA,78.90%,27,"$4,817,968 ","$19,271,872 "
Chris Johnson,CB,Dolphins,,ERFA,0.00%,23,"$4,760,117 ",$0 
Ryan Neuzil,C,Falcons,,UFA,100.00%,30,"$4,750,000 ","$6,250,000 "
Caleb Lomu,T,Patriots,,ERFA,0.00%,23,"$4,730,620 ",$0 
Garrett Bradbury,C,Bears,,UFA,98.00%,32,"$4,700,000 ","$3,700,000 "
Roy Robertson-Harris,IDL,Giants,,UFA,56.30%,34,"$4,500,000 ","$5,300,000 "
Peter Woods,IDL,Chiefs,,ERFA,0.00%,22,"$4,493,903 ",$0 
Omar Cooper,WR,Jets,,ERFA,0.00%,24,"$4,368,549 ",$0 
Arnold Ebiketie,EDGE,Eagles,,Void,34.80%,28,"$4,300,000 ","$4,300,000 "
Ryan Van Demark,RT,Vikings,,UFA,27.60%,29,"$4,270,000 ","$4,145,000 "
