Player,Pos.,2026 Team,2027 Team,Type,Snaps,Age,Current APY,Guarantees
Juanyeh Thomas,S,Colts,,RFA,24.00%,27,"$1,332,500 ","$437,500 "
Ryan McCollum,C,Steelers,,UFA,5.80%,29,"$1,332,500 ","$75,000 "
Jake Browning,QB,Buccaneers,,UFA,19.10%,31,"$1,332,500 ","$400,000 "
Jordan Battle,S,Bengals,,UFA,96.10%,27,"$1,331,254 ","$872,740 "
Tre Tucker,WR,Raiders,,UFA,94.90%,26,"$1,326,021 ","$857,512 "
Mekhi Blackmon,CB,Colts,,UFA,67.30%,28,"$1,326,021 ","$857,512 "
D.J. Davidson,IDL,Commanders,,UFA,23.00%,28,"$1,325,000 ","$20,000 "
James Lynch,IDL,Bears,,UFA,31.50%,28,"$1,315,000 ","$100,000 "
Marco Wilson,CB,Dolphins,,UFA,2.00%,28,"$1,315,000 ",$0 
Derion Kendrick,CB,Cowboys,,UFA,11.90%,27,"$1,315,000 ",$0 
Jack Stoll,TE,Browns,,UFA,18.60%,29,"$1,315,000 ",$0 
Mike Brown,S,Patriots,,UFA,2.80%,28,"$1,315,000 ","$50,000 "
Jaylon Jones,CB,Bears,,UFA,3.60%,30,"$1,315,000 ","$707,500 "
Elijah Moore,WR,Eagles,,UFA,16.40%,27,"$1,315,000 ",$0 
Kristian Welch,LB,Packers,,UFA,0.20%,29,"$1,310,000 ","$10,000 "
Corey Ballentine,CB,Cowboys,,UFA,2.10%,31,"$1,300,000 ",$0 
Cody Ford,RG,Bengals,,UFA,6.60%,31,"$1,300,000 ",$0 
Cam Jones,LB,Giants,,UFA,0.40%,28,"$1,300,000 ","$225,000 "
Travis Homer,RB,Steelers,,UFA,0.50%,29,"$1,300,000 ",$0 
Trent Sherfield,WR,Bills,,UFA,16.30%,31,"$1,300,000 ",$0 
Jordan McFadden,LG,Bears,,UFA,0.20%,28,"$1,300,000 ","$25,000 "
Phillip Dorsett,WR,Raiders,,UFA,0.00%,34,"$1,300,000 ",$0 
Joshua Ezeudu,LG,Giants,,UFA,0.00%,28,"$1,300,000 ","$410,300 "
Eli Apple,CB,49ers,,UFA,0.10%,32,"$1,300,000 ",$0 
Devin Singletary,RB,Giants,,UFA,27.00%,30,"$1,300,000 ",$0 
Rakeem Nunez-Roches,IDL,Buccaneers,,UFA,21.60%,34,"$1,300,000 ","$300,000 "
Kyler Murray,QB,Vikings,,UFA,28.00%,30,"$1,300,000 ",$0 
Tyler Conklin,TE,Lions,,UFA,14.80%,32,"$1,300,000 ",$0 
Cameron Johnston,P,Steelers,,UFA,7.90%,35,"$1,300,000 ",$0 
Trevor Siemian,QB,Falcons,,UFA,0.00%,36,"$1,300,000 ",$0 
Claudin Cherelus,LB,Panthers,,UFA,19.60%,28,"$1,295,000 ","$461,300 "
Ephesians Prysock,CB,49ers,,ERFA,0.00%,,"$1,292,259 ",$0 
Bryce Boettcher,LB,Colts,,ERFA,0.00%,,"$1,292,259 ",$0 
Bryce Lance,WR,Saints,,ERFA,0.00%,,"$1,292,259 ",$0 
Kyle Louis,LB,Dolphins,,ERFA,0.00%,,"$1,292,259 ",$0 
Colbie Young,WR,Bengals,,ERFA,0.00%,,"$1,292,259 ",$0 
Kendal Daniels,LB,Falcons,,ERFA,0.00%,,"$1,292,259 ",$0 
Dameon Pierce,RB,Eagles,,UFA,2.40%,27,"$1,290,000 ","$250,000 "
Corliss Waitman,P,49ers,,UFA,28.20%,32,"$1,290,000 ","$475,000 "
Stone Smartt,TE,Eagles,,UFA,8.10%,29,"$1,290,000 ","$225,000 "
Leki Fotu,IDL,Giants,,UFA,17.50%,29,"$1,290,000 ","$25,000 "
Ross Matiscik,LS,Jaguars,,UFA,30.20%,31,"$1,267,500 ","$800,000 "
DeeJay Dallas,RB,Jaguars,,UFA,2.40%,29,"$1,265,000 ","$200,000 "
Harrison Bryant,TE,Seahawks,,UFA,14.90%,29,"$1,265,000 ","$50,000 "
Damar Hamlin,S,Bills,,UFA,1.20%,29,"$1,265,000 ","$25,000 "
Ta'Quon Graham,IDL,Eagles,,UFA,5.20%,29,"$1,265,000 ","$125,000 "
Feleipe Franks,TE,Panthers,,UFA,1.40%,30,"$1,265,000 ",$0 
Spencer Shrader,K,Colts,,RFA,12.40%,28,"$1,255,000 ","$750,000 "
Ronnie Rivers,RB,Rams,,UFA,1.70%,28,"$1,251,000 ","$330,300 "
Emari Demercado,RB,Chiefs,,UFA,17.30%,28,"$1,250,000 ","$550,000 "
Tyrus Wheat,EDGE,Cowboys,,UFA,6.00%,28,"$1,245,000 ","$100,000 "
Isaiah Hodgins,WR,Giants,,UFA,31.60%,29,"$1,240,000 ",$0 
Keith Taylor,CB,Jaguars,,UFA,5.90%,28,"$1,240,000 ",$0 
Garret Wallow,LB,49ers,,UFA,4.20%,28,"$1,240,000 ","$330,300 "
Teagan Quitoriano,TE,Cardinals,,UFA,12.10%,27,"$1,240,000 ",$0 
Shemar Jean-Charles,CB,Seahawks,,UFA,0.00%,29,"$1,240,000 ",$0 
Cal Adomitis,LS,Steelers,,UFA,18.50%,29,"$1,240,000 ",$0 
Kamari Ramsey,S,Texans,,ERFA,0.00%,,"$1,236,430 ",$0 
Joe Giles-Harris,LB,Bengals,,RFA,2.90%,30,"$1,235,000 ",$0 
Tom Kennedy,WR,Lions,,UFA,4.40%,31,"$1,235,000 ","$20,000 "
Reggie Virgil,WR,Cardinals,,ERFA,0.00%,,"$1,234,125 ",$0 
Sam Hecht,C,Panthers,,ERFA,0.00%,,"$1,233,504 ",$0 
Nick Barrett,IDL,Chargers,,ERFA,0.00%,,"$1,230,780 ",$0 
Parker Brailsford,C,Browns,,ERFA,0.00%,,"$1,227,544 ",$0 
Joshua Josephs,EDGE,Commanders,,ERFA,0.00%,,"$1,226,578 ",$0 
Justin Jefferson,LB,Browns,,ERFA,0.00%,,"$1,225,264 ",$0 
Christian Kuntz,LS,Steelers,,UFA,0.00%,33,"$1,225,000 ","$325,000 "
Zakee Wheatley,S,Panthers,,ERFA,0.00%,,"$1,222,613 ",$0 
Justin Joly,TE,Broncos,,ERFA,0.00%,,"$1,221,526 ",$0 
Jaden Dugger,LB,49ers,,ERFA,0.00%,,"$1,220,837 ",$0 
DeMonte Capehart,IDL,Buccaneers,,ERFA,0.00%,,"$1,220,540 ",$0 
George Gumbs,EDGE,Colts,,ERFA,0.00%,,"$1,220,450 ",$0 
Alex Austin,CB,Dolphins,,UFA,14.10%,26,"$1,220,000 ",$0 
Cameron Mitchell,CB,Colts,,UFA,22.70%,26,"$1,220,000 ","$25,000 "
Keith Abney II,CB,Lions,,ERFA,0.00%,,"$1,219,725 ",$0 
Michael Taaffe,S,Dolphins,,ERFA,0.00%,,"$1,218,953 ",$0 
Max Bredeson,FB,Vikings,,ERFA,0.00%,,"$1,217,886 ",$0 
Billy Schrauth,G,Buccaneers,,ERFA,0.00%,,"$1,217,551 ",$0 
Albert Okwuegbunam,TE,Raiders,,UFA,3.10%,29,"$1,215,000 ",$0 
Ben Bartch,LT,Lions,,UFA,17.80%,29,"$1,215,000 ","$330,300 "
Darnay Holmes,CB,Falcons,,UFA,15.40%,29,"$1,215,000 ",$0 
Tyre Phillips,LG,Browns,,UFA,0.00%,30,"$1,215,000 ",$0 
Malik Turner,WR,49ers,,UFA,1.50%,31,"$1,215,000 ",$0 
Julian Okwara,EDGE,Browns,,UFA,0.00%,30,"$1,215,000 ",$0 
Parris Campbell,WR,Cowboys,,UFA,0.20%,30,"$1,215,000 ",$0 
Jedrick Wills,LT,Bears,,UFA,0.00%,28,"$1,215,000 ",$0 
Tua Tagovailoa,QB,Falcons,,UFA,79.10%,29,"$1,215,000 ",$0 
Nasir Adderley,S,Colts,,UFA,0.00%,30,"$1,215,000 ",$0 
Kemon Hall,CB,Buccaneers,,UFA,6.20%,30,"$1,215,000 ",$0 
David Sills,WR,Buccaneers,,UFA,51.60%,32,"$1,215,000 ",$0 
Michael Deiter,C,Broncos,,UFA,0.00%,31,"$1,215,000 ",$0 
D'Angelo Ross,CB,Browns,,UFA,3.90%,31,"$1,215,000 ",$0 
Will Grier,QB,Panthers,,UFA,0.00%,32,"$1,215,000 ",$0 
Saahdiq Charles,LT,Panthers,,UFA,0.00%,28,"$1,215,000 ",$0 
Ihmir Smith-Marsette,WR,Cardinals,,UFA,0.00%,28,"$1,215,000 ",$0 
Amani Oruwariye,CB,Ravens,,UFA,0.00%,31,"$1,215,000 ",$0 
Tre Avery,CB,Browns,,UFA,4.00%,30,"$1,215,000 ",$0 
Evan Neal,RG,Giants,,UFA,0.00%,27,"$1,215,000 ",$0 
Ben Cleveland,RG,Chargers,,UFA,0.30%,29,"$1,215,000 ",$0 
Cole Christiansen,LB,Chiefs,,RFA,2.20%,30,"$1,215,000 ","$247,500 "
Terrace Marshall Jr.,WR,Dolphins,,UFA,0.00%,27,"$1,215,000 ",$0 
Troy Andersen,LB,Falcons,,UFA,0.00%,28,"$1,215,000 ",$0 
Jack Sanborn,LB,Bears,,UFA,20.80%,27,"$1,215,000 ",$0 
Patrick Taylor,RB,49ers,,UFA,0.00%,29,"$1,215,000 ",$0 
Dan Chisena,WR,Panthers,,UFA,0.40%,30,"$1,215,000 ",$0 
Nephi Sewell,LB,Bears,,RFA,0.00%,29,"$1,215,000 ",$0 
Velus Jones Jr.,RB,Seahawks,,UFA,0.80%,30,"$1,215,000 ",$0 
Zach Triner,LS,Giants,,UFA,1.90%,36,"$1,215,000 ",$0 
Levi Onwuzurike,IDL,Lions,,UFA,0.00%,29,"$1,215,000 ",$0 
Channing Tindall,LB,Falcons,,UFA,0.30%,27,"$1,215,000 ",$0 
Elijah Garcia,IDL,Falcons,,RFA,8.00%,29,"$1,215,000 ",$0 
Michael Carter,RB,Titans,,UFA,34.60%,28,"$1,215,000 ",$0 
Dallis Flowers,CB,Bears,,RFA,0.00%,30,"$1,215,000 ",$0 
Jack Jones,CB,49ers,,UFA,91.50%,30,"$1,215,000 ",$0 
Pierre Strong Jr.,RB,Packers,,UFA,0.00%,29,"$1,215,000 ",$0 
Bailey Zappe,QB,Jets,,UFA,0.00%,28,"$1,215,000 ",$0 
A.J. Green,CB,Dolphins,,UFA,0.70%,29,"$1,215,000 ",$0 
Tanner Conner,WR,Giants,,UFA,18.40%,29,"$1,215,000 ",$0 
Nick Leverett,LG,Cowboys,,UFA,0.00%,30,"$1,215,000 ",$0 
Ty Chandler,RB,Saints,,UFA,4.20%,29,"$1,215,000 ",$0 
Samuel Womack,CB,Jets,,UFA,11.60%,28,"$1,215,000 ",$0 
Joe Bachie,LB,Lions,,UFA,13.40%,29,"$1,215,000 ",$0 
Nick Zakelj,LG,49ers,,UFA,2.00%,28,"$1,215,000 ",$0 
Calvin Throckmorton,RG,Broncos,,UFA,3.00%,31,"$1,215,000 ",$0 
Sean McKeon,TE,Colts,,UFA,0.70%,30,"$1,215,000 ",$0 
Ja'Sir Taylor,CB,Bengals,,UFA,12.30%,28,"$1,215,000 ",$0 
Jay Tufele,IDL,Lions,,UFA,20.40%,28,"$1,215,000 ",$0 
Sam Roberts,IDL,Giants,,UFA,9.20%,29,"$1,215,000 ",$0 
Quez Watkins,WR,Eagles,,UFA,0.00%,29,"$1,215,000 ",$0 
Darrick Forrest,S,49ers,,UFA,0.00%,28,"$1,215,000 ",$0 
Malik Herring,EDGE,Titans,,UFA,0.60%,30,"$1,215,000 ",$0 
Foster Sarell,LT,Commanders,,UFA,15.50%,29,"$1,215,000 ",$0 
Robert Rochell,CB,Panthers,,UFA,0.00%,29,"$1,215,000 ",$0 
Tim Jones,WR,Jaguars,,UFA,2.30%,29,"$1,215,000 ",$0 
Marlon Tuipulotu,IDL,Giants,,UFA,1.60%,28,"$1,215,000 ",$0 
Tyler Johnson,WR,Cowboys,,UFA,27.90%,29,"$1,215,000 ",$0 
Curtis Robinson,LB,Cowboys,,UFA,22.90%,29,"$1,215,000 ",$0 
Sam Kamara,IDL,Browns,,UFA,9.10%,30,"$1,215,000 ",$0 
Brandon Parker,RT,49ers,,UFA,0.00%,32,"$1,215,000 ",$0 
Larrell Murchison,EDGE,Rams,,UFA,11.20%,30,"$1,215,000 ","$330,300 "
K.J. Osborn,WR,Titans,,UFA,0.00%,30,"$1,215,000 ",$0 
Charles Demmings,CB,Vikings,,ERFA,0.00%,,"$1,214,716 ",$0 
Tanner Koziol,TE,Jaguars,,ERFA,0.00%,,"$1,214,210 ",$0 
Keyshaun Elliott,LB,Bears,,ERFA,0.00%,,"$1,211,885 ",$0 
Jalon Kilgore,S,Bills,,ERFA,0.00%,,"$1,210,831 ",$0 
Kendrick Law,WR,Lions,,ERFA,0.00%,,"$1,207,533 ",$0 
Riley Nowakowski,TE,Steelers,,ERFA,0.00%,,"$1,205,814 ",$0 
Joe Royer,TE,Browns,,ERFA,0.00%,,"$1,203,149 ",$0 
Karon Prunty,CB,Patriots,,ERFA,0.00%,,"$1,201,837 ",$0 
Lorenzo Styles Jr.,S,Saints,,ERFA,0.00%,,"$1,200,197 ",$0 
Austin Deculus,RT,Titans,,UFA,45.10%,28,"$1,200,000 ","$25,000 "
Blake Grupe,K,Colts,,UFA,30.40%,29,"$1,195,000 ",$0 
Jovaughn Gwyn,C,Ravens,,UFA,1.00%,28,"$1,195,000 ",$0 
Phidarian Mathis,IDL,Bills,,UFA,12.20%,29,"$1,195,000 ","$25,000 "
Zonovan Knight,RB,Cardinals,,UFA,24.90%,26,"$1,195,000 ","$25,000 "
Robert Beal Jr.,EDGE,Dolphins,,UFA,9.60%,28,"$1,195,000 ","$50,000 "
C.J. Henderson,CB,Falcons,,UFA,14.80%,29,"$1,192,500 ",$0 
Kendrick Green,RG,Browns,,UFA,0.00%,29,"$1,192,500 ",$0 
Tre Brown,CB,Jets,,UFA,5.00%,30,"$1,192,500 ",$0 
Enrique Cruz Jr.,T,49ers,,ERFA,0.00%,,"$1,189,869 ",$0 
Kevin Coleman Jr.,WR,Dolphins,,ERFA,0.00%,,"$1,189,869 ",$0 
Seydou Traore,TE,Dolphins,,ERFA,0.00%,,"$1,189,869 ",$0 
Zane Durant,IDL,Bills,,ERFA,0.00%,,"$1,189,869 ",$0 
Nick Saldiveri,LG,Saints,,UFA,0.00%,27,"$1,186,320 ","$842,280 "
Taylen Green,QB,Browns,,ERFA,0.00%,,"$1,179,541 ",$0 
Karson Sharar,LB,Cardinals,,ERFA,0.00%,,"$1,177,108 ",$0 
Zaire Barnes,LB,Giants,,UFA,8.30%,28,"$1,175,000 ","$250,000 "
Jelani Woods,TE,Jets,,UFA,5.70%,29,"$1,175,000 ",$0 
Bauer Sharp,TE,Buccaneers,,ERFA,0.00%,,"$1,174,145 ",$0 
Bobby Jamison-Travis,IDL,Giants,,ERFA,0.00%,,"$1,172,394 ",$0 
Kaytron Allen,RB,Commanders,,ERFA,0.00%,,"$1,170,988 ",$0 
Chad Muma,LB,Patriots,,UFA,5.10%,28,"$1,170,000 ",$0 
Anez Cooper,G,Jets,,ERFA,0.00%,,"$1,169,960 ",$0 
Brian Parker II,C,Bengals,,ERFA,0.00%,,"$1,169,455 ",$0 
Barion Brown,WR,Saints,,ERFA,0.00%,,"$1,168,504 ",$0 
Josh Cameron,WR,Jaguars,,ERFA,0.00%,,"$1,167,522 ",$0 
J.C. Davis,T,Giants,,ERFA,0.00%,,"$1,167,230 ",$0 
Jakorian Bennett,CB,Eagles,,UFA,9.00%,27,"$1,165,897 ","$823,588 "
Jack Kelly,LB,Giants,,ERFA,0.00%,,"$1,165,662 ",$0 
Kelee Ringo,CB,Eagles,,UFA,27.60%,25,"$1,165,232 ","$820,928 "
Dametrious Crownover,T,Patriots,,ERFA,0.00%,,"$1,164,108 ",$0 
Blake Freeland,LT,Colts,,UFA,0.00%,26,"$1,163,972 ","$815,888 "
C.J. Daniels,WR,Rams,,ERFA,0.00%,,"$1,163,811 ",$0 
Demond Claiborne,RB,Vikings,,ERFA,0.00%,,"$1,163,395 ",$0 
D.J. Campbell,G,Dolphins,,ERFA,0.00%,,"$1,163,159 ",$0 
Logan Taylor,G,Chargers,,ERFA,0.00%,,"$1,162,692 ",$0 
Ambry Thomas,CB,Eagles,,UFA,0.00%,28,"$1,162,500 ","$17,500 "
Jake Andrews,C,Texans,,UFA,94.20%,28,"$1,162,086 ","$808,344 "
C.J. Williams,WR,Jaguars,,ERFA,0.00%,,"$1,162,070 ",$0 
Lewis Bond,WR,Texans,,ERFA,0.00%,,"$1,161,720 ",$0 
Anthony Bradford,RG,Seahawks,,UFA,96.30%,26,"$1,160,997 ","$803,988 "
Skyler Gill-Howard,IDL,Lions,,ERFA,0.00%,,"$1,160,823 ",$0 
Dylan Horton,EDGE,Texans,,UFA,23.50%,27,"$1,160,261 ","$801,044 "
Alex Harkey,G,Chargers,,ERFA,0.00%,,"$1,159,902 ",$0 
Adetomiwa Adebawore,EDGE,Colts,,UFA,47.10%,26,"$1,159,228 ","$796,912 "
Anterio Thompson,IDL,Falcons,,ERFA,0.00%,,"$1,158,658 ",$0 
Matt Gulbin,C,Commanders,,ERFA,0.00%,,"$1,158,394 ",$0 
Zachary Carter,IDL,Cardinals,,UFA,8.70%,28,"$1,157,500 ",$0 
Britain Covey,WR,Eagles,,UFA,3.80%,30,"$1,157,500 ",$0 
Deven Thompkins,WR,Falcons,,UFA,2.00%,28,"$1,157,500 ",$0 
Gabriel Rubio,IDL,Steelers,,ERFA,0.00%,24,"$1,156,725 ",$0 
Austin Trammell,WR,Jaguars,,UFA,7.90%,29,"$1,155,000 ","$10,000 "
Namdi Obiazor,LB,Patriots,,ERFA,0.00%,,"$1,154,718 ",$0 
Clark Phillips III,CB,Falcons,,UFA,0.00%,26,"$1,153,383 ","$773,532 "
Chandler Zavala,RG,Panthers,,UFA,20.00%,28,"$1,152,934 ","$771,736 "
Jordan van den Berg,IDL,Bears,,ERFA,0.00%,,"$1,152,901 ",$0 
Roschon Johnson,RB,Bears,,UFA,0.30%,26,"$1,152,172 ","$768,688 "
Colby Wooden,IDL,Colts,,UFA,52.40%,27,"$1,151,982 ","$767,928 "
Shane Buechele,QB,Bills,,UFA,2.60%,29,"$1,150,000 ","$50,000 "
Chamarri Conner,S,Chiefs,,UFA,98.20%,27,"$1,147,841 ","$751,364 "
Caden Curry,EDGE,Colts,,ERFA,0.00%,,"$1,146,633 ",$0 
Harold Perkins Jr.,LB,Falcons,,ERFA,0.00%,,"$1,146,633 ",$0 
Blake Whiteheart,TE,Browns,,UFA,22.60%,27,"$1,145,000 ",$0 
Christian Braswell,CB,Jaguars,,RFA,14.50%,28,"$1,145,000 ",$0 
Myles Adams,EDGE,Lions,,UFA,0.00%,29,"$1,145,000 ",$0 
Jerrick Reed,S,Titans,,UFA,6.90%,27,"$1,145,000 ",$0 
Kaevon Merriweather,S,Texans,,UFA,2.40%,28,"$1,145,000 ",$0 
Stephen Carlson,TE,Bears,,UFA,1.20%,31,"$1,145,000 ",$0 
Matt Henningsen,IDL,Broncos,,UFA,0.00%,28,"$1,145,000 ",$0 
Benton Whitley,EDGE,Buccaneers,,RFA,0.00%,28,"$1,145,000 ",$0 
Jeremiah Pharms,IDL,Patriots,,RFA,4.60%,31,"$1,145,000 ",$0 
Tucker Addington,LS,Dolphins,,ERFA,0.00%,30,"$1,145,000 ",$0 
Cody White,WR,Seahawks,,UFA,15.30%,29,"$1,145,000 ",$0 
Jonathan Garvin,EDGE,Bears,,UFA,0.00%,28,"$1,145,000 ",$0 
Caleb Murphy,EDGE,Giants,,UFA,13.00%,28,"$1,145,000 ",$0 
Kion Smith,RT,Dolphins,,UFA,15.00%,29,"$1,145,000 ",$0 
Nick Hampton,EDGE,Panthers,,UFA,10.00%,27,"$1,145,000 ",$0 
Jonathan Mingo,WR,Cowboys,,UFA,6.70%,26,"$1,145,000 ",$0 
Isaiah Foskey,EDGE,Bengals,,UFA,3.10%,27,"$1,145,000 ",$0 
Ethan Bonner,CB,Dolphins,,RFA,8.40%,28,"$1,145,000 ",$0 
Jaret Patterson,RB,Chargers,,RFA,10.10%,28,"$1,145,000 ",$0 
Ty Okada,CB,Seahawks,,ERFA,65.80%,28,"$1,145,000 ",$0 
D.J. Johnson,EDGE,Commanders,,ERFA,5.00%,29,"$1,145,000 ",$0 
Milo Eifler,LB,49ers,,UFA,0.00%,29,"$1,145,000 ",$0 
Gary Brightwell,RB,Bengals,,UFA,0.00%,29,"$1,145,000 ",$0 
Trey Hill,C,Titans,,UFA,0.00%,27,"$1,145,000 ",$0 
Brandon Johnson,WR,Steelers,,UFA,0.00%,29,"$1,145,000 ",$0 
Ja'Marcus Ingram,CB,Texans,,RFA,10.20%,30,"$1,145,000 ",$0 
Segun Olubi,LB,Raiders,,UFA,0.50%,28,"$1,145,000 ",$0 
Kahlef Hailassie,CB,Vikings,,RFA,0.00%,27,"$1,145,000 ",$0 
Tariq Castro-Fields,CB,Eagles,,RFA,0.00%,28,"$1,145,000 ",$0 
Alex Ward,LS,Raiders,,UFA,14.60%,28,"$1,145,000 ",$0 
Bo Melton,WR,Packers,,RFA,9.10%,28,"$1,145,000 ",$0 
Lawrence Cager,WR,Commanders,,UFA,0.10%,30,"$1,145,000 ",$0 
Eku Leota,EDGE,Cardinals,,ERFA,0.00%,28,"$1,145,000 ",$0 
Zachary Thomas,RG,49ers,,UFA,0.00%,29,"$1,145,000 ",$0 
Chase Lucas,CB,Buccaneers,,UFA,9.00%,30,"$1,145,000 ",$0 
Matthew Butler,IDL,Dolphins,,UFA,20.10%,28,"$1,145,000 ",$0 
Andre Carter II,EDGE,Commanders,,ERFA,0.00%,27,"$1,145,000 ",$0 
Payton Turner,EDGE,Lions,,UFA,0.00%,28,"$1,145,000 ",$0 
Russ Yeast,S,Bengals,,RFA,0.00%,28,"$1,145,000 ",$0 
Skylar Thompson,QB,Ravens,,UFA,0.00%,30,"$1,145,000 ",$0 
Jalen Graham,LB,49ers,,RFA,0.20%,27,"$1,145,000 ",$0 
LaBryan Ray,IDL,Panthers,,UFA,14.90%,30,"$1,145,000 ",$0 
Tristin McCollum,CB,Raiders,,RFA,12.90%,28,"$1,145,000 ",$0 
Josh Sills,LG,Colts,,RFA,0.40%,29,"$1,145,000 ",$0 
Cade York,K,Jets,,UFA,0.00%,26,"$1,145,000 ",$0 
Tyler Goodson,RB,Falcons,,UFA,3.30%,27,"$1,145,000 ",$0 
Marcelino McCrary-Ball,CB,Jets,,RFA,9.40%,28,"$1,145,000 ",$0 
Arron Mosby,EDGE,Packers,,UFA,1.50%,28,"$1,145,000 ",$0 
Ben Stille,IDL,Falcons,,ERFA,0.00%,30,"$1,145,000 ",$0 
Jesse Luketa,EDGE,Patriots,,UFA,0.00%,28,"$1,145,000 ",$0 
Ventrell Miller,LB,Jaguars,,UFA,20.10%,28,"$1,144,234 ","$736,936 "
Jon Gaines,LG,Cardinals,,UFA,29.90%,28,"$1,143,060 ","$732,240 "
Jayden Williams,G,Cardinals,,ERFA,0.00%,,"$1,140,363 ",$0 
Tavius Robinson,EDGE,Ravens,,UFA,39.70%,28,"$1,140,141 ","$720,564 "
T.J. Hall,CB,Saints,,ERFA,0.00%,,"$1,139,297 ",$0 
Toriano Pride Jr.,CB,Bills,,ERFA,0.00%,,"$1,138,945 ",$0 
Isaiah McGuire,EDGE,Browns,,UFA,39.10%,26,"$1,137,982 ","$711,928 "
Derius Davis,WR,Chargers,,UFA,7.30%,27,"$1,137,982 ","$711,928 "
Jack Endries,TE,Bengals,,ERFA,0.00%,,"$1,137,754 ",$0 
Tyre West,IDL,Lions,,ERFA,0.00%,,"$1,136,822 ",$0 
Athan Kaliakmanis,QB,Commanders,,ERFA,0.00%,,"$1,136,164 ",$0 
Robert Spears-Jennings,S,Steelers,,ERFA,0.00%,,"$1,135,982 ",$0 
Landon Robinson,IDL,Bengals,,ERFA,0.00%,,"$1,135,571 ",$0 
Stetson Bennett,QB,Rams,,RFA,0.00%,30,"$1,134,783 ","$699,132 "
Jackson Kuwatch,LB,Panthers,,ERFA,0.00%,,"$1,134,770 ",$0 
V.J. Payne,S,Jets,,ERFA,0.00%,,"$1,134,543 ",$0 
Eli Heidenreich,RB,Steelers,,ERFA,0.00%,,"$1,133,996 ",$0 
Ethan Onianwa,G,Falcons,,ERFA,0.00%,,"$1,133,982 ",$0 
Tim Keenan III,IDL,Rams,,ERFA,0.00%,,"$1,133,831 ",$0 
Zach Durfee,EDGE,Jaguars,,ERFA,0.00%,,"$1,132,964 ",$0 
Behren Morton,QB,Patriots,,ERFA,0.00%,,"$1,132,307 ",$0 
Tyler Lacy,IDL,Lions,,UFA,21.40%,28,"$1,131,780 ","$687,120 "
Gavin Gerhardt,C,Vikings,,ERFA,0.00%,,"$1,131,719 ",$0 
Charlie Jones,WR,Bengals,,UFA,1.80%,29,"$1,129,694 ","$678,776 "
Seth McGowan,RB,Colts,,ERFA,0.00%,,"$1,128,727 ",$0 
Max Llewellyn,EDGE,Dolphins,,ERFA,0.00%,,"$1,128,389 ",$0 
Nick Herbig,LB,Steelers,,UFA,52.40%,26,"$1,128,231 ","$672,924 "
Tommy Doman,P,Bills,,ERFA,0.00%,,"$1,128,043 ",$0 
Parker Hughes,LB,Jaguars,,ERFA,0.00%,,"$1,127,698 ",$0 
Ar'Maj Reed-Adams,G,Bills,,ERFA,0.00%,,"$1,127,438 ",$0 
Aiden Fisher,LB,Texans,,ERFA,0.00%,,"$1,126,892 ",$0 
Jam Miller,RB,Patriots,,ERFA,0.00%,,"$1,126,235 ",$0 
Miles Scott,S,Broncos,,ERFA,0.00%,,"$1,125,942 ",$0 
Quintayvious Hutchins,EDGE,Patriots,,ERFA,0.00%,,"$1,125,523 ",$0 
Red Murdock,LB,Broncos,,ERFA,0.00%,,"$1,125,122 ",$0 
Deion Burks,WR,Colts,,ERFA,0.00%,,"$1,125,122 ",$0 
Carsen Ryan,TE,Browns,,ERFA,0.00%,,"$1,125,122 ",$0 
Dallen Bentley,TE,Broncos,,ERFA,0.00%,,"$1,125,122 ",$0 
Jay Ward,S,Vikings,,UFA,23.20%,27,"$1,123,386 ","$653,544 "
Eyioma Uwazurike,IDL,Broncos,,UFA,36.40%,29,"$1,106,468 ","$765,872 "
Brandon Codrington,CB,Texans,,RFA,1.00%,27,"$1,100,000 ","$15,000 "
Jarrett Kingston,LG,Texans,,RFA,2.80%,28,"$1,100,000 ","$15,000 "
Shaka Heyward,LB,Bengals,,RFA,3.30%,27,"$1,095,000 ",$0 
Zacch Pickens,IDL,Giants,,RFA,5.70%,27,"$1,087,500 ",$0 
James Houston,EDGE,Cowboys,,UFA,27.70%,29,"$1,087,500 ",$0 
Atonio Mafi,LG,Raiders,,RFA,15.30%,27,"$1,087,500 ",$0 
Brodric Martin,IDL,Raiders,,UFA,0.90%,28,"$1,087,500 ",$0 
Jammie Robinson,S,Falcons,,UFA,0.00%,26,"$1,087,500 ",$0 
Brayden Willis,TE,49ers,,UFA,1.20%,28,"$1,087,500 ",$0 
Jalen Brooks,WR,Cardinals,,UFA,9.70%,27,"$1,087,500 ",$0 
Jordon Riley,IDL,Packers,,RFA,5.70%,29,"$1,087,500 ",$0 
Jarrick Bernard-Converse,CB,Giants,,UFA,2.10%,27,"$1,087,500 ",$0 
Mason Kinsey,WR,Titans,,UFA,6.40%,29,"$1,087,500 ",$0 
Patrick O'Connell,LB,Seahawks,,RFA,5.00%,29,"$1,087,500 ",$0 
Andre Baccellia,WR,Cardinals,,RFA,8.10%,30,"$1,087,500 ",$0 
Raheem Layne,S,Giants,,RFA,9.50%,28,"$1,087,500 ",$0 
Malik Davis,RB,Cowboys,,RFA,13.10%,29,"$1,087,500 ",$0 
Kingsley Jonathan,EDGE,Jets,,RFA,1.50%,29,"$1,087,500 ",$0 
